factory_id,factory_name,country_code,local_water_stress_index,energy_mix_carbon_intensity
FAC_HM_001,HM_Partner_1,BD,4.1,0.95
FAC_HM_002,HM_Partner_2,BD,2.9,0.9
FAC_HM_003,HM_Partner_3,CN,2.7,0.8
FAC_HM_004,HM_Partner_4,CN,3.7,0.85
FAC_HM_005,HM_Partner_5,IN,4.2,0.9
FAC_HM_006,HM_Partner_6,IN,3.3,0.88
FAC_HM_007,HM_Partner_7,KH,4.9,0.7
FAC_HM_008,HM_Partner_8,KH,4.1,0.75
FAC_HM_009,HM_Partner_9,VN,3.4,0.7
FAC_HM_010,HM_Partner_10,VN,3.2,0.72
FAC_HM_011,HM_Partner_11,TR,3.0,0.5
FAC_HM_012,HM_Partner_12,TR,4.2,0.55
FAC_HM_013,HM_Partner_13,ID,3.3,0.6
FAC_HM_014,HM_Partner_14,MM,2.2,0.65
FAC_HM_015,HM_Partner_15,BD,3.2,0.92
FAC_HM_016,HM_Partner_16,CN,4.2,0.82
FAC_HM_017,HM_Partner_17,IN,2.5,0.89
FAC_HM_018,HM_Partner_18,VN,2.5,0.71
FAC_HM_019,HM_Partner_19,TR,3.6,0.52
FAC_HM_020,HM_Partner_20,BD,3.6,0.94
