product_id,brand_id,category,collection_cycle,main_material,weight_grams
PRD_0000,HM08,Activewear,Fast_Track,Cotone Convenzionale,192
PRD_0001,HM06,Dresses,Fast_Track,Poliestere Riciclato,263
PRD_0002,HM08,Activewear,Seasonal,Poliestere Riciclato,298
PRD_0003,HM05,Denim,Seasonal,Cotone Convenzionale,793
PRD_0004,HM03,Dresses,Seasonal,Poliestere Riciclato,350
PRD_0005,HM08,Knitwear,Seasonal,Cotone Convenzionale,307
PRD_0006,HM02,Denim,Core_Basics,Lyocell (TENCEL),824
PRD_0007,HM04,Outerwear,Seasonal,Cotone Organico,917
PRD_0008,HM03,Knitwear,Core_Basics,Poliestere Riciclato,366
PRD_0009,HM06,Activewear,Seasonal,Cotone Organico,177
PRD_0010,HM06,Knitwear,Fast_Track,Cotone Organico,379
PRD_0011,HM07,Activewear,Core_Basics,Cotone Convenzionale,284
PRD_0012,HM07,Outerwear,Core_Basics,Cotone Organico,1290
PRD_0013,HM05,Outerwear,Core_Basics,Poliestere Riciclato,1169
PRD_0014,HM05,Dresses,Fast_Track,Cotone Convenzionale,432
PRD_0015,HM04,Knitwear,Fast_Track,Cotone Convenzionale,333
PRD_0016,HM08,Activewear,Core_Basics,Cotone Convenzionale,165
PRD_0017,HM01,Activewear,Core_Basics,Poliestere Riciclato,171
PRD_0018,HM01,Underwear,Fast_Track,Lana Riciclata,142
PRD_0019,HM01,Denim,Core_Basics,Poliestere Riciclato,893
PRD_0020,HM02,Knitwear,Seasonal,Poliestere Riciclato,407
PRD_0021,HM06,Denim,Fast_Track,Poliestere Riciclato,827
PRD_0022,HM04,Underwear,Seasonal,Poliestere Riciclato,64
PRD_0023,HM08,Activewear,Fast_Track,Lyocell (TENCEL),300
PRD_0024,HM05,Underwear,Core_Basics,Poliestere Riciclato,57
PRD_0025,HM06,Outerwear,Seasonal,Cotone Organico,1279
PRD_0026,HM03,Outerwear,Fast_Track,Elastan,1344
PRD_0027,HM05,Knitwear,Core_Basics,Elastan,364
PRD_0028,HM01,Outerwear,Seasonal,Lyocell (TENCEL),881
PRD_0029,HM07,Knitwear,Fast_Track,Cotone Organico,402
PRD_0030,HM05,Activewear,Fast_Track,Lyocell (TENCEL),160
PRD_0031,HM03,Denim,Seasonal,Elastan,730
PRD_0032,HM03,Outerwear,Fast_Track,Poliestere Riciclato,906
PRD_0033,HM01,Dresses,Seasonal,Elastan,377
PRD_0034,HM03,Knitwear,Fast_Track,Lana Riciclata,352
PRD_0035,HM04,Outerwear,Seasonal,Cotone Organico,1454
PRD_0036,HM01,Knitwear,Fast_Track,Lana Riciclata,459
PRD_0037,HM06,Underwear,Seasonal,Elastan,78
PRD_0038,HM05,Underwear,Core_Basics,Lana Riciclata,59
PRD_0039,HM03,Dresses,Core_Basics,Elastan,441
PRD_0040,HM01,Underwear,Seasonal,Elastan,77
PRD_0041,HM03,Knitwear,Core_Basics,Cotone Organico,496
PRD_0042,HM04,Outerwear,Fast_Track,Cotone Convenzionale,850
PRD_0043,HM02,Knitwear,Seasonal,Lana Riciclata,302
PRD_0044,HM03,Underwear,Seasonal,Cotone Convenzionale,132
PRD_0045,HM08,Dresses,Seasonal,Elastan,441
PRD_0046,HM01,Dresses,Core_Basics,Cotone Convenzionale,411
PRD_0047,HM02,Denim,Seasonal,Cotone Organico,798
PRD_0048,HM07,Outerwear,Seasonal,Poliestere Riciclato,911
PRD_0049,HM04,Activewear,Core_Basics,Lana Riciclata,348
PRD_0050,HM07,Denim,Fast_Track,Lana Riciclata,794
PRD_0051,HM07,Denim,Seasonal,Poliestere Riciclato,852
PRD_0052,HM06,Outerwear,Seasonal,Cotone Organico,1041
PRD_0053,HM05,Denim,Fast_Track,Cotone Convenzionale,727
PRD_0054,HM05,Activewear,Core_Basics,Lyocell (TENCEL),332
PRD_0055,HM07,Denim,Core_Basics,Lana Riciclata,816
PRD_0056,HM06,Knitwear,Seasonal,Elastan,465
PRD_0057,HM02,Outerwear,Fast_Track,Cotone Organico,979
PRD_0058,HM07,Dresses,Core_Basics,Cotone Organico,418
PRD_0059,HM02,Dresses,Seasonal,Elastan,478
PRD_0060,HM08,Underwear,Fast_Track,Lana Riciclata,131
PRD_0061,HM05,Activewear,Seasonal,Lana Riciclata,307
PRD_0062,HM08,Activewear,Seasonal,Lana Riciclata,254
PRD_0063,HM05,Denim,Fast_Track,Lyocell (TENCEL),700
PRD_0064,HM07,Outerwear,Seasonal,Lana Riciclata,837
PRD_0065,HM05,Dresses,Core_Basics,Poliestere Riciclato,432
PRD_0066,HM06,Knitwear,Seasonal,Cotone Organico,353
PRD_0067,HM02,Knitwear,Seasonal,Cotone Organico,388
PRD_0068,HM07,Knitwear,Seasonal,Elastan,393
PRD_0069,HM04,Activewear,Seasonal,Poliestere Riciclato,204
PRD_0070,HM06,Activewear,Fast_Track,Elastan,199
PRD_0071,HM01,Outerwear,Core_Basics,Poliestere Riciclato,973
PRD_0072,HM08,Outerwear,Core_Basics,Poliestere Riciclato,1343
PRD_0073,HM03,Underwear,Fast_Track,Cotone Organico,133
PRD_0074,HM02,Activewear,Seasonal,Lyocell (TENCEL),153
PRD_0075,HM01,Denim,Seasonal,Lana Riciclata,855
PRD_0076,HM02,Knitwear,Seasonal,Lana Riciclata,272
PRD_0077,HM03,Knitwear,Core_Basics,Cotone Organico,268
PRD_0078,HM07,Dresses,Fast_Track,Poliestere Riciclato,452
PRD_0079,HM08,Dresses,Core_Basics,Lyocell (TENCEL),471
PRD_0080,HM01,Dresses,Core_Basics,Cotone Convenzionale,377
PRD_0081,HM08,Outerwear,Fast_Track,Lana Riciclata,1481
PRD_0082,HM04,Knitwear,Fast_Track,Poliestere Riciclato,466
PRD_0083,HM06,Activewear,Fast_Track,Lana Riciclata,253
PRD_0084,HM04,Outerwear,Core_Basics,Lana Riciclata,1182
PRD_0085,HM03,Underwear,Seasonal,Cotone Organico,71
PRD_0086,HM02,Denim,Core_Basics,Poliestere Riciclato,796
PRD_0087,HM05,Activewear,Fast_Track,Cotone Convenzionale,171
PRD_0088,HM01,Knitwear,Seasonal,Poliestere Riciclato,454
PRD_0089,HM02,Activewear,Fast_Track,Poliestere Riciclato,346
PRD_0090,HM04,Dresses,Seasonal,Poliestere Riciclato,441
PRD_0091,HM03,Activewear,Seasonal,Elastan,337
PRD_0092,HM05,Denim,Fast_Track,Lana Riciclata,809
PRD_0093,HM03,Outerwear,Fast_Track,Poliestere Riciclato,1202
PRD_0094,HM08,Dresses,Seasonal,Elastan,323
PRD_0095,HM06,Dresses,Core_Basics,Cotone Convenzionale,486
PRD_0096,HM08,Outerwear,Core_Basics,Cotone Convenzionale,1071
PRD_0097,HM04,Outerwear,Fast_Track,Cotone Organico,1182
PRD_0098,HM01,Denim,Seasonal,Lana Riciclata,753
PRD_0099,HM05,Knitwear,Core_Basics,Poliestere Riciclato,401
PRD_0100,HM08,Denim,Seasonal,Elastan,850
PRD_0101,HM01,Knitwear,Seasonal,Elastan,396
PRD_0102,HM07,Dresses,Fast_Track,Cotone Convenzionale,276
PRD_0103,HM04,Dresses,Seasonal,Poliestere Riciclato,344
PRD_0104,HM01,Knitwear,Fast_Track,Cotone Organico,441
PRD_0105,HM02,Underwear,Seasonal,Lyocell (TENCEL),83
PRD_0106,HM02,Dresses,Fast_Track,Cotone Organico,421
PRD_0107,HM07,Dresses,Core_Basics,Lyocell (TENCEL),276
PRD_0108,HM07,Outerwear,Seasonal,Cotone Convenzionale,922
PRD_0109,HM02,Dresses,Seasonal,Elastan,343
PRD_0110,HM05,Activewear,Fast_Track,Lana Riciclata,284
PRD_0111,HM08,Denim,Core_Basics,Cotone Organico,739
PRD_0112,HM08,Underwear,Seasonal,Elastan,79
PRD_0113,HM08,Outerwear,Fast_Track,Elastan,1327
PRD_0114,HM06,Dresses,Seasonal,Lana Riciclata,312
PRD_0115,HM08,Underwear,Seasonal,Cotone Convenzionale,100
PRD_0116,HM02,Activewear,Seasonal,Poliestere Riciclato,198
PRD_0117,HM04,Outerwear,Fast_Track,Lyocell (TENCEL),885
PRD_0118,HM05,Activewear,Core_Basics,Lana Riciclata,198
PRD_0119,HM04,Dresses,Core_Basics,Cotone Organico,276
PRD_0120,HM07,Outerwear,Fast_Track,Poliestere Riciclato,926
PRD_0121,HM08,Knitwear,Seasonal,Elastan,268
PRD_0122,HM02,Underwear,Seasonal,Cotone Organico,126
PRD_0123,HM04,Denim,Seasonal,Lana Riciclata,845
PRD_0124,HM05,Dresses,Core_Basics,Lyocell (TENCEL),438
PRD_0125,HM04,Dresses,Seasonal,Elastan,371
PRD_0126,HM04,Activewear,Core_Basics,Cotone Organico,178
PRD_0127,HM08,Knitwear,Fast_Track,Poliestere Riciclato,297
PRD_0128,HM01,Activewear,Fast_Track,Cotone Convenzionale,212
PRD_0129,HM08,Dresses,Fast_Track,Poliestere Riciclato,290
PRD_0130,HM04,Dresses,Seasonal,Cotone Convenzionale,396
PRD_0131,HM06,Knitwear,Seasonal,Lyocell (TENCEL),413
