shipment_id,product_id,origin_factory_id,destination_id,transport_id,distance_km,shipped_quantity,total_weight_tons,transport_co2_footprint,transport_nox_footprint,transport_sox_footprint
SHP_HM_000000,PRD_0475,FAC_HM_015,DST_HM_003,T_ROAD_D,12423.37,1885,0.5391,703.24,26.79,6.7
SHP_HM_000001,PRD_0861,FAC_HM_014,DST_HM_003,T_SEA,11203.39,662,0.0847,14.24,17.09,14.24
SHP_HM_000002,PRD_0117,FAC_HM_003,DST_HM_001,T_SEA,6525.27,603,0.5337,52.23,62.68,52.23
SHP_HM_000003,PRD_0076,FAC_HM_012,DST_HM_003,T_SEA,10957.65,4636,1.261,207.26,248.72,207.26
SHP_HM_000004,PRD_0136,FAC_HM_009,DST_HM_002,T_SEA,7090.39,3815,0.1908,20.29,24.34,20.29
SHP_HM_000005,PRD_0564,FAC_HM_004,DST_HM_002,T_RAIL,5179.86,967,0.2843,32.4,2.95,1.47
SHP_HM_000006,PRD_0240,FAC_HM_015,DST_HM_001,T_SEA,6140.9,969,0.0756,6.96,8.35,6.96
SHP_HM_000007,PRD_0073,FAC_HM_007,DST_HM_001,T_SEA,7328.44,2136,0.2841,31.23,37.47,31.23
SHP_HM_000008,PRD_0927,FAC_HM_012,DST_HM_002,T_SEA,5782.1,2127,1.7186,149.06,178.87,149.06
SHP_HM_000009,PRD_0685,FAC_HM_009,DST_HM_001,T_SEA,6372.81,4046,5.102,487.71,585.25,487.71
SHP_HM_000010,PRD_0135,FAC_HM_014,DST_HM_002,T_SEA,6104.72,2373,0.3488,31.94,38.33,31.94
SHP_HM_000011,PRD_0957,FAC_HM_001,DST_HM_002,T_SEA,6627.59,4088,0.9034,89.82,107.78,89.82
SHP_HM_000012,PRD_0976,FAC_HM_007,DST_HM_003,T_SEA,11561.48,257,0.0272,4.72,5.67,4.72
SHP_HM_000013,PRD_0773,FAC_HM_006,DST_HM_002,T_SEA,5276.63,2996,3.2956,260.84,313.01,260.84
SHP_HM_000014,PRD_0474,FAC_HM_010,DST_HM_003,T_SEA,12447.67,2062,0.299,55.83,66.99,55.83
SHP_HM_000015,PRD_0579,FAC_HM_003,DST_HM_002,T_AIR,7222.6,1171,1.0925,9863.75,39.46,7.89
SHP_HM_000016,PRD_0371,FAC_HM_008,DST_HM_001,T_ROAD_D,4234.34,3466,0.9913,440.73,16.79,4.2
SHP_HM_000017,PRD_0348,FAC_HM_007,DST_HM_002,T_SEA,8084.6,4884,1.8364,222.7,267.24,222.7
