measurement_id,product_id,factory_id,production_volume,total_water_footprint,total_carbon_footprint,waste_percentage,timestamp
MSR_HM_00000,PRD_0487,FAC_HM_013,16371,11625047.1,25402.88,13.26,2023-06-15
MSR_HM_00001,PRD_0399,FAC_HM_008,3733,3023730.0,6607.41,8.99,2024-04-04
MSR_HM_00002,PRD_0287,FAC_HM_004,3505,830264.4,11070.19,17.89,2024-11-28
MSR_HM_00003,PRD_0714,FAC_HM_017,22822,645862.6,25834.5,10.52,2023-07-16
MSR_HM_00004,PRD_0295,FAC_HM_007,2999,326771.04,4356.95,10.16,2023-05-29
MSR_HM_00005,PRD_0146,FAC_HM_010,19960,3635913.6,48478.85,16.12,2024-04-29
MSR_HM_00006,PRD_0771,FAC_HM_020,15682,863137.28,97102.94,9.43,2023-09-20
MSR_HM_00007,PRD_0819,FAC_HM_020,16032,2472134.4,156568.51,3.15,2023-07-22
MSR_HM_00008,PRD_0253,FAC_HM_006,15658,681123.0,51765.35,8.13,2024-06-10
MSR_HM_00009,PRD_0171,FAC_HM_008,3300,125070.0,9505.32,9.7,2023-09-13
MSR_HM_00010,PRD_0059,FAC_HM_009,22346,1602208.2,101473.19,11.52,2023-04-15
MSR_HM_00011,PRD_0863,FAC_HM_002,22630,298716.0,3982.88,16.48,2024-08-07
MSR_HM_00012,PRD_0544,FAC_HM_011,9696,594364.8,45171.72,12.13,2023-06-05
MSR_HM_00013,PRD_0852,FAC_HM_004,10295,1882440.75,119221.25,8.41,2024-02-25
MSR_HM_00014,PRD_0688,FAC_HM_012,17638,925995.0,58646.35,3.23,2024-01-11
MSR_HM_00015,PRD_0107,FAC_HM_006,21167,584209.2,23368.37,9.65,2024-07-26
MSR_HM_00016,PRD_0516,FAC_HM_017,8184,3049358.4,6663.41,17.76,2024-06-08
MSR_HM_00017,PRD_0496,FAC_HM_004,4658,194238.6,14762.13,6.38,2024-06-15
MSR_HM_00018,PRD_0776,FAC_HM_006,12998,592708.8,37538.22,4.95,2023-01-21
MSR_HM_00019,PRD_0094,FAC_HM_007,16018,776072.1,49151.23,9.54,2024-02-04
MSR_HM_00020,PRD_0628,FAC_HM_012,2562,8300.88,933.85,7.79,2023-05-13
MSR_HM_00021,PRD_0325,FAC_HM_010,3019,64002.8,4864.21,14.86,2023-02-03
