factory_id,factory_name,country_code,local_water_stress_index,energy_mix_carbon_intensity
F001,Supplier_1,ES,2.5,0.2
F002,Supplier_2,PT,4.8,0.25
F003,Supplier_3,MA,3.9,0.6
F004,Supplier_4,TR,3.4,0.5
F005,Supplier_5,CN,1.6,0.8
F006,Supplier_6,BD,1.6,0.9
F007,Supplier_7,VN,1.2,0.7
F008,Supplier_8,IN,4.5,0.85
F009,Supplier_9,ES,3.4,0.2
F010,Supplier_10,PT,3.8,0.25
F011,Supplier_11,TR,1.1,0.5
F012,Supplier_12,MA,4.9,0.6
F013,Supplier_13,CN,4.3,0.8
F014,Supplier_14,BD,1.8,0.9
F015,Supplier_15,ES,1.7,0.2
F016,Supplier_16,PT,1.7,0.25
F017,Supplier_17,TR,2.2,0.5
F018,Supplier_18,IN,3.1,0.85
F019,Supplier_19,CN,2.7,0.8
F020,Supplier_20,VN,2.2,0.7
