shipment_id,product_id,origin_factory_id,destination_id,transport_id,distance_km,shipped_quantity,total_weight_tons,transport_co2_footprint,transport_nox_footprint,transport_sox_footprint
SHP_INDITEX_000000,PROD_0394,F002,DST_INDITEX_002,T_AIR,6118.88,4305,3.0522,23345.4,93.38,18.68
SHP_INDITEX_000001,PROD_0868,F016,DST_INDITEX_001,T_ROAD_D,10228.02,2048,0.8192,879.77,33.52,8.38
SHP_INDITEX_000002,PROD_0090,F005,DST_INDITEX_001,T_SEA,9064.28,1412,0.2429,33.02,39.62,33.02
SHP_INDITEX_000003,PROD_0662,F006,DST_INDITEX_002,T_SEA,9791.19,1220,0.4514,66.3,79.56,66.3
SHP_INDITEX_000004,PROD_0764,F010,DST_INDITEX_001,T_RAIL,6588.14,571,0.3329,48.25,4.39,2.19
SHP_INDITEX_000005,PROD_0002,F008,DST_INDITEX_002,T_RAIL,7541.24,193,0.1776,29.46,2.68,1.34
SHP_INDITEX_000006,PROD_0820,F014,DST_INDITEX_001,T_RAIL,10600.26,4383,4.2296,986.37,89.67,44.83
SHP_INDITEX_000007,PROD_0031,F006,DST_INDITEX_001,T_SEA,10211.08,428,0.1031,15.8,18.96,15.8
SHP_INDITEX_000008,PROD_0981,F016,DST_INDITEX_003,T_ROAD_D,8904.14,1578,0.5665,529.64,20.18,5.04
SHP_INDITEX_000009,PROD_0120,F008,DST_INDITEX_003,T_AIR,6631.0,1999,0.6857,5683.24,22.73,4.55
SHP_INDITEX_000010,PROD_0958,F020,DST_INDITEX_001,T_ROAD_D,8747.68,1786,0.5715,524.94,20.0,5.0
SHP_INDITEX_000011,PROD_0231,F010,DST_INDITEX_003,T_AIR,5185.16,1049,0.5665,3671.48,14.69,2.94
SHP_INDITEX_000012,PROD_0038,F018,DST_INDITEX_003,T_ROAD_D,5655.16,2265,0.5527,328.16,12.5,3.13
SHP_INDITEX_000013,PROD_0363,F001,DST_INDITEX_001,T_RAIL,9183.91,4576,2.1965,443.79,40.34,20.17
SHP_INDITEX_000014,PROD_0613,F005,DST_INDITEX_003,T_ROAD_D,7660.59,3341,1.6204,1303.38,49.65,12.41
SHP_INDITEX_000015,PROD_0278,F012,DST_INDITEX_003,T_SEA,5289.96,2431,2.7616,219.13,262.96,219.13
SHP_INDITEX_000016,PROD_0043,F015,DST_INDITEX_002,T_ROAD_D,10359.56,2110,0.749,814.78,31.04,7.76
SHP_INDITEX_000017,PROD_0707,F018,DST_INDITEX_001,T_ROAD_D,7069.36,954,0.1918,142.34,5.42,1.36
SHP_INDITEX_000018,PROD_0483,F010,DST_INDITEX_001,T_SEA,6588.14,1211,0.4081,40.33,48.4,40.33
SHP_INDITEX_000019,PROD_0603,F005,DST_INDITEX_001,T_ROAD_D,9064.28,4707,4.1704,3969.18,151.21,37.8
SHP_INDITEX_000020,PROD_0756,F016,DST_INDITEX_003,T_SEA,8904.14,978,0.3345,44.67,53.61,44.67
SHP_INDITEX_000021,PROD_0153,F013,DST_INDITEX_002,T_SEA,5995.64,2224,1.241,111.61,133.93,111.61
SHP_INDITEX_000022,PROD_0988,F007,DST_INDITEX_003,T_SEA,6851.01,2041,0.6939,71.31,85.58,71.31
SHP_INDITEX_000023,PROD_0503,F010,DST_INDITEX_003,T_RAIL,5185.16,3329,3.2291,368.36,33.49,16.74
SHP_INDITEX_000024,PROD_0432,F012,DST_INDITEX_002,T_AIR,6204.97,3197,3.1363,24325.48,97.3,19.46
SHP_INDITEX_000025,PROD_0410,F014,DST_INDITEX_003,T_SEA,9330.42,3652,1.8406,257.6,309.13,257.6
SHP_INDITEX_000026,PROD_0244,F001,DST_INDITEX_002,T_ROAD_D,8748.98,586,0.2303,211.56,8.06,2.01
SHP_INDITEX_000027,PROD_0835,F008,DST_INDITEX_002,T_SEA,7541.24,4799,2.9898,338.2,405.84,338.2
SHP_INDITEX_000028,PROD_0405,F003,DST_INDITEX_003,T_RAIL,6062.93,3216,1.7913,238.93,21.72,10.86
SHP_INDITEX_000029,PROD_0590,F016,DST_INDITEX_002,T_ROAD_D,9819.05,3968,0.873,900.02,34.29,8.57
SHP_INDITEX_000030,PROD_0693,F006,DST_INDITEX_002,T_SEA,9791.19,763,0.2999,44.04,52.85,44.04
SHP_INDITEX_000031,PROD_0228,F010,DST_INDITEX_001,T_ROAD_D,6588.14,1285,0.4626,320.01,12.19,3.05
SHP_INDITEX_000032,PROD_0258,F006,DST_INDITEX_001,T_AIR,10211.08,4937,1.022,13044.13,52.18,10.44
SHP_INDITEX_000033,PROD_0312,F011,DST_INDITEX_003,T_RAIL,8488.53,1875,0.6788,126.75,11.52,5.76
SHP_INDITEX_000034,PROD_0860,F001,DST_INDITEX_003,T_AIR,7834.3,2634,0.5953,5829.54,23.32,4.66
SHP_INDITEX_000035,PROD_0531,F008,DST_INDITEX_003,T_RAIL,6631.0,2063,0.9304,135.73,12.34,6.17
SHP_INDITEX_000036,PROD_0375,F013,DST_INDITEX_003,T_AIR,5084.99,612,0.3299,2096.72,8.39,1.68
SHP_INDITEX_000037,PROD_0217,F019,DST_INDITEX_003,T_ROAD_D,7984.62,1714,0.9496,796.09,30.33,7.58
SHP_INDITEX_000038,PROD_0252,F013,DST_INDITEX_001,T_SEA,6468.86,2613,1.5417,149.59,179.51,149.59
SHP_INDITEX_000039,PROD_0619,F016,DST_INDITEX_003,T_AIR,8904.14,4450,2.3941,26646.75,106.59,21.32
SHP_INDITEX_000040,PROD_0328,F018,DST_INDITEX_003,T_ROAD_D,5655.16,493,0.3426,203.45,7.75,1.94
SHP_INDITEX_000041,PROD_0285,F002,DST_INDITEX_002,T_AIR,6118.88,3875,1.6585,12685.2,50.74,10.15
SHP_INDITEX_000042,PROD_0594,F001,DST_INDITEX_001,T_ROAD_D,9183.91,4423,0.6723,648.3,24.7,6.17
SHP_INDITEX_000043,PROD_0362,F016,DST_INDITEX_002,T_SEA,9819.05,2373,0.7309,107.65,129.18,107.65
SHP_INDITEX_000044,PROD_0419,F020,DST_INDITEX_003,T_ROAD_D,7353.51,4521,1.623,1253.18,47.74,11.94
