measurement_id,product_id,factory_id,production_volume,total_water_footprint,total_carbon_footprint,waste_percentage,timestamp
MSR_00000,PROD_0290,F019,1836,2445552.0,4483.51,7.1,2023-08-26
MSR_00001,PROD_0212,F009,2913,320196.96,4269.29,13.3,2023-06-03
MSR_00002,PROD_0528,F001,8134,2322257.0,62700.94,11.26,2023-06-11
MSR_00003,PROD_0928,F007,5039,722592.6,39020.0,11.92,2024-10-17
MSR_00004,PROD_0475,F011,2377,113097.66,13571.72,4.28,2024-05-16
MSR_00005,PROD_0706,F010,4430,13970448.0,30528.02,8.26,2024-09-24
MSR_00006,PROD_0611,F002,7058,235454.88,28254.59,5.72,2023-05-22
MSR_00007,PROD_0082,F006,5380,5568300.0,10208.55,4.9,2024-07-16
MSR_00008,PROD_0372,F012,1487,45948.3,2481.21,5.75,2023-08-13
MSR_00009,PROD_0896,F008,1785,295417.5,7976.27,12.01,2024-01-12
MSR_00010,PROD_0107,F018,1344,213024.0,5751.65,6.87,2023-01-27
MSR_00011,PROD_0001,F020,2378,133762.5,7223.17,4.25,2023-05-09
MSR_00012,PROD_0038,F003,7279,5328228.0,9768.42,4.88,2023-02-20
MSR_00013,PROD_0727,F003,3282,2067660.0,3790.71,8.2,2023-10-08
MSR_00014,PROD_0917,F013,9383,22744392.0,41698.05,13.67,2024-03-31
MSR_00015,PROD_0728,F014,9668,22884156.0,41954.29,13.57,2023-08-30
MSR_00016,PROD_0056,F011,8332,261458.16,31374.98,13.64,2024-03-14
MSR_00017,PROD_0529,F020,6145,7432992.0,16242.46,3.88,2023-03-15
MSR_00018,PROD_0490,F019,662,586267.2,1281.1,14.09,2023-05-06
MSR_00019,PROD_0671,F019,1282,177108.3,9563.85,7.25,2023-09-18
MSR_00020,PROD_0056,F007,1502,47132.76,5655.93,12.16,2024-12-01
MSR_00021,PROD_0815,F006,8845,2697725.0,72838.58,9.33,2023-09-17
MSR_00022,PROD_0026,F017,7710,563215.5,30413.64,10.2,2023-11-29
MSR_00023,PROD_0615,F012,4529,342392.4,4565.23,6.37,2024-04-14
MSR_00024,PROD_0493,F011,5164,6190603.2,13527.61,4.56,2024-10-22
MSR_00025,PROD_0182,F020,2197,1047969.0,1921.28,4.22,2024-07-03
MSR_00026,PROD_0261,F007,4292,4542652.8,9926.54,12.77,2024-12-23
MSR_00027,PROD_0710,F011,6579,2006595.0,54178.06,10.59,2024-04-17
MSR_00028,PROD_0754,F009,1487,1030491.0,1889.23,5.76,2024-01-31
MSR_00029,PROD_0662,F013,1962,108891.0,5880.11,4.92,2024-12-04
MSR_00030,PROD_0478,F014,7891,368115.15,19878.22,6.81,2023-09-18
MSR_00031,PROD_0563,F011,9355,809675.25,43722.46,9.44,2023-10-18
MSR_00032,PROD_0135,F020,2683,54733.2,6567.98,3.05,2024-01-22
MSR_00033,PROD_0540,F018,1983,68770.44,8252.45,3.02,2023-10-28
MSR_00034,PROD_0609,F007,1473,176760.0,2356.8,11.21,2024-04-08
MSR_00035,PROD_0326,F020,3691,417083.0,11261.24,7.8,2024-06-19
MSR_00036,PROD_0337,F004,8639,230661.3,12455.71,14.67,2023-01-27
MSR_00037,PROD_0085,F019,1384,151963.2,8206.01,13.18,2023-10-28
MSR_00038,PROD_0695,F008,3181,4740962.4,10359.88,3.66,2024-11-27
MSR_00039,PROD_0589,F006,2324,947494.8,2070.45,11.87,2024-05-02
MSR_00040,PROD_0559,F015,4793,613120.56,8174.94,6.85,2023-05-08
MSR_00041,PROD_0955,F017,6286,9640209.6,21065.64,12.07,2023-05-11
MSR_00042,PROD_0490,F011,6612,5855587.2,12795.54,8.86,2023-09-21
MSR_00043,PROD_0063,F006,4472,153479.04,18417.48,8.43,2023-12-07
MSR_00044,PROD_0290,F019,8421,11216772.0,20564.08,5.48,2024-01-17
MSR_00045,PROD_0008,F001,4652,59731.68,7167.8,4.06,2024-07-23
MSR_00046,PROD_0163,F016,5317,1294689.5,34956.62,2.7,2024-06-13
MSR_00047,PROD_0465,F012,6056,1092986.88,14573.16,13.38,2024-07-05
MSR_00048,PROD_0421,F008,6189,462318.3,24965.19,7.51,2024-11-03
MSR_00049,PROD_0903,F011,7869,375823.44,5010.98,12.77,2023-10-30
MSR_00050,PROD_0609,F017,6300,756000.0,10080.0,9.89,2024-12-12
