shipment_id,product_id,origin_factory_id,destination_id,transport_id,distance_km,shipped_quantity,total_weight_tons,transport_co2_footprint,transport_nox_footprint,transport_sox_footprint
SHP_PRIMARK_000000,PRM_PRD_0371,FAC_PRM_009,DST_PRIMARK_003,T_ROAD_D,8651.23,4923,0.7581,688.68,26.24,6.56
SHP_PRIMARK_000001,PRM_PRD_0279,FAC_PRM_001,DST_PRIMARK_001,T_SEA,6708.25,1474,0.9861,99.23,119.07,99.23
SHP_PRIMARK_000002,PRM_PRD_0762,FAC_PRM_016,DST_PRIMARK_003,T_SEA,8365.6,4007,1.3824,173.47,208.17,173.47
SHP_PRIMARK_000003,PRM_PRD_0008,FAC_PRM_019,DST_PRIMARK_002,T_SEA,8927.03,1092,0.5678,76.04,91.24,76.04
SHP_PRIMARK_000004,PRM_PRD_0362,FAC_PRM_004,DST_PRIMARK_003,T_SEA,8527.66,4559,3.1503,402.97,483.56,402.97
SHP_PRIMARK_000005,PRM_PRD_0141,FAC_PRM_012,DST_PRIMARK_001,T_ROAD_D,9480.7,3986,0.6577,654.71,24.94,6.24
SHP_PRIMARK_000006,PRM_PRD_0619,FAC_PRM_017,DST_PRIMARK_002,T_SEA,7279.91,909,0.729,79.61,95.53,79.61
SHP_PRIMARK_000007,PRM_PRD_0707,FAC_PRM_013,DST_PRIMARK_003,T_SEA,8887.2,4108,2.3457,312.7,375.24,312.7
SHP_PRIMARK_000008,PRM_PRD_0409,FAC_PRM_020,DST_PRIMARK_002,T_SEA,6391.47,2851,0.5816,55.76,66.91,55.76
SHP_PRIMARK_000009,PRM_PRD_0114,FAC_PRM_010,DST_PRIMARK_003,T_SEA,9001.15,156,0.0947,12.79,15.34,12.79
SHP_PRIMARK_000010,PRM_PRD_0987,FAC_PRM_020,DST_PRIMARK_003,T_SEA,6873.87,2323,1.582,163.11,195.74,163.11
SHP_PRIMARK_000011,PRM_PRD_0914,FAC_PRM_016,DST_PRIMARK_003,T_SEA,8365.6,4479,3.5205,441.77,530.12,441.77
SHP_PRIMARK_000012,PRM_PRD_0309,FAC_PRM_003,DST_PRIMARK_001,T_SEA,9025.29,2047,1.7625,238.6,286.32,238.6
SHP_PRIMARK_000013,PRM_PRD_0495,FAC_PRM_014,DST_PRIMARK_002,T_ROAD_D,8267.86,2537,0.482,418.46,15.94,3.99
SHP_PRIMARK_000014,PRM_PRD_0283,FAC_PRM_017,DST_PRIMARK_001,T_RAIL,7602.62,3134,0.6738,112.7,10.25,5.12
SHP_PRIMARK_000015,PRM_PRD_0216,FAC_PRM_014,DST_PRIMARK_003,T_SEA,9292.1,359,0.0872,12.16,14.59,12.16
SHP_PRIMARK_000016,PRM_PRD_0893,FAC_PRM_020,DST_PRIMARK_001,T_SEA,6707.3,1483,0.7252,72.96,87.55,72.96
SHP_PRIMARK_000017,PRM_PRD_0351,FAC_PRM_007,DST_PRIMARK_002,T_SEA,7146.05,4200,1.743,186.83,224.2,186.83
SHP_PRIMARK_000018,PRM_PRD_0579,FAC_PRM_019,DST_PRIMARK_001,T_SEA,9042.15,3412,1.8527,251.29,301.55,251.29
SHP_PRIMARK_000019,PRM_PRD_0521,FAC_PRM_013,DST_PRIMARK_003,T_ROAD_D,8887.2,3016,0.5942,554.44,21.12,5.28
SHP_PRIMARK_000020,PRM_PRD_0847,FAC_PRM_011,DST_PRIMARK_001,T_ROAD_D,6187.83,4270,2.4723,1606.33,61.19,15.3
