measurement_id,product_id,factory_id,production_volume_packs,total_individual_items,ecommerce_sales_pct,total_water_footprint,total_carbon_footprint,waste_percentage,timestamp
PRM_MSR_000000,PRM_PRD_0673,FAC_PRM_019,88798,88798,0.0,37073165.0,86009.74,3.01,2023-02-27
PRM_MSR_000001,PRM_PRD_0189,FAC_PRM_009,54382,54382,0.0,2321023.76,358703.67,10.91,2024-02-02
PRM_MSR_000002,PRM_PRD_0387,FAC_PRM_010,51874,51874,0.0,1574894.64,243392.81,7.13,2024-02-20
PRM_MSR_000003,PRM_PRD_0282,FAC_PRM_011,55209,55209,0.0,2736986.18,364931.49,10.3,2024-06-25
PRM_MSR_000004,PRM_PRD_0456,FAC_PRM_018,61818,61818,0.0,526998.45,81445.22,3.66,2024-07-18
PRM_MSR_000005,PRM_PRD_0388,FAC_PRM_020,59803,299015,0.0,12259615.0,85817.3,4.54,2024-03-26
PRM_MSR_000006,PRM_PRD_0672,FAC_PRM_008,29445,29445,0.0,6050947.5,42356.63,3.56,2024-08-24
PRM_MSR_000007,PRM_PRD_0885,FAC_PRM_004,47356,47356,0.0,393291.58,60781.43,2.15,2024-10-25
PRM_MSR_000008,PRM_PRD_0854,FAC_PRM_006,25504,25504,0.0,26651680.0,61831.9,8.92,2024-10-22
PRM_MSR_000009,PRM_PRD_0005,FAC_PRM_015,148725,446175,0.0,1717773.75,265474.12,9.46,2023-08-02
PRM_MSR_000010,PRM_PRD_0040,FAC_PRM_015,24695,24695,0.0,39857730.0,82372.64,6.15,2024-08-18
PRM_MSR_000011,PRM_PRD_0192,FAC_PRM_014,33835,33835,0.0,19793475.0,40906.52,8.66,2024-02-26
PRM_MSR_000012,PRM_PRD_0755,FAC_PRM_018,52636,52636,0.0,85533500.0,198437.72,11.18,2024-10-04
PRM_MSR_000013,PRM_PRD_0925,FAC_PRM_010,80686,80686,0.0,992437.8,132325.04,9.35,2024-06-02
PRM_MSR_000014,PRM_PRD_0613,FAC_PRM_015,49002,49002,0.0,93838830.0,217706.09,6.66,2024-12-14
PRM_MSR_000015,PRM_PRD_0902,FAC_PRM_013,51045,51045,0.0,2760258.38,368034.45,5.41,2024-09-23
PRM_MSR_000016,PRM_PRD_0040,FAC_PRM_018,37209,37209,0.0,60055326.0,124114.34,2.48,2023-03-15
PRM_MSR_000017,PRM_PRD_0640,FAC_PRM_013,16816,16816,0.0,44646480.0,92269.39,4.75,2024-03-11
PRM_MSR_000018,PRM_PRD_0180,FAC_PRM_019,22070,22070,0.0,60979410.0,126024.11,10.97,2024-02-21
PRM_MSR_000019,PRM_PRD_0944,FAC_PRM_008,68838,68838,0.0,784753.2,104633.76,8.83,2023-12-03
