measurement_id;product_id;factory_id;production_volume;is_viral_reorder;total_water_footprint;total_carbon_footprint;waste_percentage;timestamp
SHN_MSR_000000;SKU_000982;FAC_SHN_0001;90;FALSO;20655;12118;198900,0%;2023−08−10
SHN_MSR_000001;SKU_000494;FAC_SHN_0001;177;FALSO;303732;25311;114100,0%;2023−06−22
SHN_MSR_000002;SKU_000465;FAC_SHN_0001;50;FALSO;11175;6556;10400,0%;2024−06−01
SHN_MSR_000003;SKU_000250;FAC_SHN_0013;193;FALSO;45162;33872;86800,0%;2023−10−30
SHN_MSR_000004;SKU_000816;FAC_SHN_0020;153;FALSO;112455;21366;171100,0%;2024−02−02
SHN_MSR_000005;SKU_000755;FAC_SHN_0007;105;FALSO;16884;1407;123700,0%;2024−11−23
SHN_MSR_000006;SKU_000011;FAC_SHN_0008;67;FALSO;10988;20877;159700,0%;2024−11−10
SHN_MSR_000007;SKU_000067;FAC_SHN_0003;114;FALSO;111264;15577;194300,0%;2024−11−18
SHN_MSR_000008;SKU_000545;FAC_SHN_0015;79;FALSO;186045;35349;181400,0%;2023−06−12
SHN_MSR_000009;SKU_000024;FAC_SHN_0003;138;FALSO;40779;23924;105200,0%;2023−05−09
SHN_MSR_000010;SKU_000700;FAC_SHN_0003;54;FALSO;8505;499;130800,0%;2024−03−29
SHN_MSR_000011;SKU_000345;FAC_SHN_0017;174;FALSO;394110;15764;122400,0%;2024−08−22
SHN_MSR_000012;SKU_000149;FAC_SHN_0012;73;FALSO;159432;13286;92800,0%;2024−03−26
SHN_MSR_000013;SKU_000624;FAC_SHN_0009;9585;VERO;276048;23004;154400,0%;2024−08−06
SHN_MSR_000014;SKU_000945;FAC_SHN_0013;90;FALSO;7560;567;172900,0%;2023−12−28
SHN_MSR_000015;SKU_000458;FAC_SHN_0012;113;FALSO;151872;12656;100100,0%;2024−05−17
SHN_MSR_000016;SKU_000689;FAC_SHN_0015;140;FALSO;22260;16695;107800,0%;2023−09−20
SHN_MSR_000017;SKU_000318;FAC_SHN_0013;9380;VERO;656600;124754;122100,0%;2023−07−10
SHN_MSR_000018;SKU_000845;FAC_SHN_0002;132;FALSO;809820;32393;156400,0%;2024−11−09
SHN_MSR_000019;SKU_000553;FAC_SHN_0012;54;FALSO;103680;4147;112900,0%;2023−07−21
SHN_MSR_000020;SKU_000606;FAC_SHN_0014;137;FALSO;93708;7809;171400,0%;2023−06−13
SHN_MSR_000021;SKU_000737;FAC_SHN_0017;8810;VERO;1973440;148008;144300,0%;2023−08−24
SHN_MSR_000022;SKU_000016;FAC_SHN_0014;72;FALSO;111168;15564;119500,0%;2023−01−30
SHN_MSR_000023;SKU_000191;FAC_SHN_0018;51;FALSO;9639;7229;156300,0%;2024−03−26
SHN_MSR_000024;SKU_000492;FAC_SHN_0012;175;FALSO;27650;20738;13100,0%;2024−10−08
SHN_MSR_000025;SKU_000942;FAC_SHN_0016;133;FALSO;13034;24765;115200,0%;2024−02−05
SHN_MSR_000026;SKU_000618;FAC_SHN_0013;132;FALSO;263340;10534;186400,0%;2023−07−08
SHN_MSR_000027;SKU_000584;FAC_SHN_0010;84;FALSO;156240;625;158800,0%;2023−08−24
SHN_MSR_000028;SKU_000738;FAC_SHN_0019;130;FALSO;13728;19219;147400,0%;2024−01−22
SHN_MSR_000029;SKU_000007;FAC_SHN_0015;67;FALSO;133665;7842;89200,0%;2024−12−25
SHN_MSR_000030;SKU_000605;FAC_SHN_0004;134;FALSO;121136;16959;154200,0%;2024−09−12
SHN_MSR_000031;SKU_000946;FAC_SHN_0012;138;FALSO;114816;16074;57100,0%;2024−08−09
SHN_MSR_000032;SKU_000371;FAC_SHN_0008;101;FALSO;15049;11287;171700,0%;2023−05−07
SHN_MSR_000033;SKU_000971;FAC_SHN_0011;7686;VERO;15126048;1260504;17800,0%;2024−01−24
SHN_MSR_000034;SKU_000773;FAC_SHN_0012;149;FALSO;520755;30551;152200,0%;2023−07−09
SHN_MSR_000035;SKU_000002;FAC_SHN_0018;98;FALSO;9212;17503;152800,0%;2023−02−08
SHN_MSR_000036;SKU_000834;FAC_SHN_0006;126;FALSO;33642;19737;95700,0%;2023−07−01
SHN_MSR_000037;SKU_000001;FAC_SHN_0006;173;FALSO;451530;18061;54300,0%;2023−07−08
SHN_MSR_000038;SKU_000970;FAC_SHN_0009;172;FALSO;35604;20888;54200,0%;2023−05−10
SHN_MSR_000039;SKU_000095;FAC_SHN_0015;98;FALSO;12348;9261;12500,0%;2024−12−04
SHN_MSR_000040;SKU_000354;FAC_SHN_0010;109;FALSO;93304;13063;197900,0%;2023−07−02
SHN_MSR_000041;SKU_000349;FAC_SHN_0013;166;FALSO;43077;25272;83700,0%;2024−10−17
SHN_MSR_000042;SKU_000943;FAC_SHN_0014;147;FALSO;47040;3528;181500,0%;2024−06−17
SHN_MSR_000043;SKU_000832;FAC_SHN_0003;78;FALSO;4875;9262;177100,0%;2023−06−28
SHN_MSR_000044;SKU_000399;FAC_SHN_0002;8338;VERO;9271856;129806;153400,0%;2024−09−14
SHN_MSR_000045;SKU_000085;FAC_SHN_0012;186;FALSO;320850;12834;70200,0%;2024−04−15
SHN_MSR_000046;SKU_000359;FAC_SHN_0020;58;FALSO;64380;2575;99500,0%;2023−06−03
SHN_MSR_000047;SKU_000975;FAC_SHN_0001;128;FALSO;8256;15686;149600,0%;2024−06−13
SHN_MSR_000048;SKU_000171;FAC_SHN_0004;77;FALSO;499884;41657;77400,0%;2023−08−24
SHN_MSR_000049;SKU_000167;FAC_SHN_0009;149;FALSO;76735;1458;90500,0%;2024−04−11
SHN_MSR_000050;SKU_000252;FAC_SHN_0018;168;FALSO;52248;39186;13000,0%;2023−02−08
SHN_MSR_000051;SKU_000847;FAC_SHN_0020;64;FALSO;23040;922;189500,0%;2023−11−24
SHN_MSR_000052;SKU_000264;FAC_SHN_0020;127;FALSO;120015;4801;88100,0%;2023−04−10
SHN_MSR_000053;SKU_000801;FAC_SHN_0011;155;FALSO;374325;14973;156400,0%;2023−11−28
SHN_MSR_000054;SKU_000779;FAC_SHN_0018;104;FALSO;10452;6132;152900,0%;2023−09−09
SHN_MSR_000055;SKU_000768;FAC_SHN_0005;188;FALSO;108288;9024;103600,0%;2024−08−23
SHN_MSR_000056;SKU_000075;FAC_SHN_0020;167;FALSO;7014;526;122700,0%;2023−01−25
SHN_MSR_000057;SKU_000282;FAC_SHN_0002;182;FALSO;325416;27118;174100,0%;2023−06−27
SHN_MSR_000058;SKU_000109;FAC_SHN_0004;89;FALSO;157352;22029;139700,0%;2023−12−22
SHN_MSR_000059;SKU_000893;FAC_SHN_0019;153;FALSO;9486;18023;79700,0%;2024−02−08
SHN_MSR_000060;SKU_000334;FAC_SHN_0003;3190;VERO;698610;409851;162900,0%;2023−08−30
SHN_MSR_000061;SKU_000977;FAC_SHN_0006;113;FALSO;82716;6893;88900,0%;2024−10−21
SHN_MSR_000062;SKU_000965;FAC_SHN_0013;63;FALSO;6174;11731;148100,0%;2023−09−02
SHN_MSR_000063;SKU_000910;FAC_SHN_0009;4473;VERO;5689656;474138;188600,0%;2024−01−31
SHN_MSR_000064;SKU_000366;FAC_SHN_0020;130;FALSO;11648;16307;71700,0%;2024−05−24
SHN_MSR_000065;SKU_000219;FAC_SHN_0018;92;FALSO;21988;16491;151800,0%;2023−07−18
SHN_MSR_000066;SKU_000862;FAC_SHN_0006;5734;VERO;3784440;151378;164900,0%;2023−10−28
SHN_MSR_000067;SKU_000708;FAC_SHN_0005;199;FALSO;159996;13333;8000,0%;2023−01−19
SHN_MSR_000068;SKU_000592;FAC_SHN_0002;167;FALSO;483465;28363;125200,0%;2024−09−24
SHN_MSR_000069;SKU_000055;FAC_SHN_0008;100;FALSO;15000;1250;15100,0%;2024−07−17
SHN_MSR_000070;SKU_000406;FAC_SHN_0011;167;FALSO;16032;22445;101600,0%;2024−03−31
SHN_MSR_000071;SKU_000308;FAC_SHN_0012;74;FALSO;186480;7459;159400,0%;2024−12−23
SHN_MSR_000072;SKU_000433;FAC_SHN_0019;147;FALSO;266805;50693;68900,0%;2024−10−01
SHN_MSR_000073;SKU_000074;FAC_SHN_0015;137;FALSO;168784;2363;113600,0%;2024−03−05
SHN_MSR_000074;SKU_000160;FAC_SHN_0017;176;FALSO;58344;34228;178200,0%;2023−02−08
SHN_MSR_000075;SKU_000737;FAC_SHN_0007;62;FALSO;13888;10416;12200,0%;2023−07−17
SHN_MSR_000076;SKU_000322;FAC_SHN_0003;96;FALSO;12672;17741;132900,0%;2024−09−26
SHN_MSR_000077;SKU_000931;FAC_SHN_0008;78;FALSO;631800;25272;116700,0%;2024−01−24
SHN_MSR_000078;SKU_000506;FAC_SHN_0013;92;FALSO;117024;16383;184100,0%;2023−08−19
SHN_MSR_000079;SKU_000291;FAC_SHN_0008;3387;VERO;494502;370876;10500,0%;2023−11−21
SHN_MSR_000080;SKU_000621;FAC_SHN_0002;5050;VERO;1318050;773256;7200,0%;2023−11−08
SHN_MSR_000081;SKU_000532;FAC_SHN_0003;143;FALSO;868296;72358;18400,0%;2023−03−24
SHN_MSR_000082;SKU_000970;FAC_SHN_0015;82;FALSO;16974;9958;142200,0%;2024−07−21
SHN_MSR_000083;SKU_000052;FAC_SHN_0005;133;FALSO;414960;16598;125400,0%;2023−09−13
SHN_MSR_000084;SKU_000688;FAC_SHN_0002;3332;VERO;564774;331334;188500,0%;2024−02−25
SHN_MSR_000085;SKU_000237;FAC_SHN_0011;9332;VERO;43225824;6051615;117800,0%;2023−09−23
SHN_MSR_000086;SKU_000135;FAC_SHN_0008;190;FALSO;14288;20003;12900,0%;2024−01−13
SHN_MSR_000087;SKU_000827;FAC_SHN_0020;4751;VERO;465598;884636;197200,0%;2024−07−28
SHN_MSR_000088;SKU_000657;FAC_SHN_0011;4081;VERO;11936925;477477;139800,0%;2023−04−04
SHN_MSR_000089;SKU_000273;FAC_SHN_0020;73;FALSO;257325;15096;5200,0%;2024−03−02
SHN_MSR_000090;SKU_000587;FAC_SHN_0005;2161;VERO;324150;190168;136100,0%;2024−08−06
SHN_MSR_000091;SKU_000560;FAC_SHN_0014;70;FALSO;249900;9996;126800,0%;2023−12−07
SHN_MSR_000092;SKU_000117;FAC_SHN_0012;91;FALSO;36582;30485;13700,0%;2023−04−21
SHN_MSR_000093;SKU_000903;FAC_SHN_0009;53;FALSO;5088;9667;181600,0%;2023−03−24
