factory_id,factory_name,country_code,local_water_stress_index,energy_mix_carbon_intensity
FAC_SHN_0001,Guangzhou_Supplier_1,CN,3.6,0.85
FAC_SHN_0002,Guangzhou_Supplier_2,CN,3.1,0.88
FAC_SHN_0003,Guangzhou_Supplier_3,CN,2.2,0.9
FAC_SHN_0004,Guangzhou_Supplier_4,CN,3.3,0.82
FAC_SHN_0005,Guangzhou_Supplier_5,CN,2.2,0.87
FAC_SHN_0006,Guangzhou_Supplier_6,CN,2.7,0.89
FAC_SHN_0007,Guangzhou_Supplier_7,CN,2.9,0.91
FAC_SHN_0008,Guangzhou_Supplier_8,CN,3.1,0.84
FAC_SHN_0009,Guangzhou_Supplier_9,CN,3.3,0.86
FAC_SHN_0010,Guangzhou_Supplier_10,CN,3.4,0.88
FAC_SHN_0011,Guangzhou_Supplier_11,CN,3.6,0.85
FAC_SHN_0012,Guangzhou_Supplier_12,CN,2.3,0.9
FAC_SHN_0013,Guangzhou_Supplier_13,CN,2.7,0.82
FAC_SHN_0014,Guangzhou_Supplier_14,CN,2.4,0.87
FAC_SHN_0015,Guangzhou_Supplier_15,CN,3.4,0.89
FAC_SHN_0016,Guangzhou_Supplier_16,CN,2.1,0.86
FAC_SHN_0017,Global_Hub_17,BR,3.8,0.3
FAC_SHN_0018,Global_Hub_18,BR,2.8,0.35
FAC_SHN_0019,Global_Hub_19,TR,3.5,0.5
FAC_SHN_0020,Global_Hub_20,TR,2.9,0.55
