shipment_id,product_id,origin_factory_id,destination_id,transport_id,distance_km,shipped_quantity,total_weight_tons,transport_co2_footprint,transport_nox_footprint,transport_sox_footprint
SHP_SHEIN_000000,SKU_000878,FAC_SHN_0014,DST_SHEIN_002,T_AIR,8085.62,1222,0.5255,5310.84,21.24,4.25
SHP_SHEIN_000001,SKU_000992,FAC_SHN_0017,DST_SHEIN_001,T_SEA,11062.44,995,0.0388,6.44,7.73,6.44
SHP_SHEIN_000002,SKU_000108,FAC_SHN_0018,DST_SHEIN_002,T_AIR,10139.26,4014,1.7019,21570.46,86.28,17.26
SHP_SHEIN_000003,SKU_000001,FAC_SHN_0017,DST_SHEIN_001,T_AIR,11062.44,4652,0.8094,11193.09,44.77,8.95
SHP_SHEIN_000004,SKU_000930,FAC_SHN_0002,DST_SHEIN_001,T_AIR,11577.54,1965,0.2378,3440.92,13.76,2.75
SHP_SHEIN_000005,SKU_000782,FAC_SHN_0017,DST_SHEIN_003,T_AIR,17362.52,4868,0.5209,11304.65,45.22,9.04
SHP_SHEIN_000006,SKU_000407,FAC_SHN_0015,DST_SHEIN_002,T_AIR,8176.95,1592,0.39,3986.67,15.95,3.19
SHP_SHEIN_000007,SKU_000733,FAC_SHN_0018,DST_SHEIN_001,T_AIR,11385.72,2146,0.5043,7177.42,28.71,5.74
SHP_SHEIN_000008,SKU_000736,FAC_SHN_0018,DST_SHEIN_002,T_AIR,10139.26,3495,0.0874,1107.4,4.43,0.89
SHP_SHEIN_000009,SKU_000322,FAC_SHN_0007,DST_SHEIN_003,T_AIR,17643.25,578,0.0954,2103.3,8.41,1.68
SHP_SHEIN_000010,SKU_000388,FAC_SHN_0019,DST_SHEIN_003,T_AIR,14107.95,174,0.0195,343.67,1.37,0.27
SHP_SHEIN_000011,SKU_000489,FAC_SHN_0004,DST_SHEIN_003,T_SEA,17554.64,2556,0.4703,123.84,148.61,123.84
SHP_SHEIN_000012,SKU_000432,FAC_SHN_0004,DST_SHEIN_001,T_AIR,11567.78,4600,0.2852,4123.91,16.5,3.3
SHP_SHEIN_000013,SKU_000981,FAC_SHN_0005,DST_SHEIN_001,T_AIR,13580.22,4913,0.6878,11675.93,46.7,9.34
SHP_SHEIN_000014,SKU_000997,FAC_SHN_0010,DST_SHEIN_003,T_AIR,16369.48,4548,2.1467,43924.55,175.7,35.14
SHP_SHEIN_000015,SKU_000294,FAC_SHN_0019,DST_SHEIN_003,T_SEA,14107.95,3715,0.6576,139.15,166.98,139.15
SHP_SHEIN_000016,SKU_000810,FAC_SHN_0019,DST_SHEIN_003,T_AIR,14107.95,2520,0.5141,9065.77,36.26,7.25
SHP_SHEIN_000017,SKU_000438,FAC_SHN_0017,DST_SHEIN_003,T_AIR,17362.52,1771,0.2409,5227.33,20.91,4.18
SHP_SHEIN_000018,SKU_000399,FAC_SHN_0002,DST_SHEIN_003,T_AIR,17265.22,1576,0.2191,4727.74,18.91,3.78
SHP_SHEIN_000019,SKU_000079,FAC_SHN_0013,DST_SHEIN_003,T_AIR,16093.52,2789,0.251,5049.54,20.2,4.04
SHP_SHEIN_000020,SKU_000264,FAC_SHN_0011,DST_SHEIN_003,T_AIR,15983.07,4578,0.2884,5762.18,23.05,4.61
SHP_SHEIN_000021,SKU_000181,FAC_SHN_0009,DST_SHEIN_001,T_AIR,11295.27,4657,0.7125,10060.15,40.24,8.05
