measurement_id,product_id,factory_id,production_volume,is_viral_reorder,total_water_footprint,total_carbon_footprint,waste_percentage,timestamp
SHN_MSR_000000,SKU_000982,FAC_SHN_0001,90,False,2065.5,121.18,19.89,2023-08-10
SHN_MSR_000001,SKU_000494,FAC_SHN_0001,177,False,3037.32,253.11,11.41,2023-06-22
SHN_MSR_000002,SKU_000465,FAC_SHN_0001,50,False,1117.5,65.56,10.4,2024-06-01
SHN_MSR_000003,SKU_000250,FAC_SHN_0013,193,False,4516.2,338.72,8.68,2023-10-30
SHN_MSR_000004,SKU_000816,FAC_SHN_0020,153,False,1124.55,213.66,17.11,2024-02-02
SHN_MSR_000005,SKU_000755,FAC_SHN_0007,105,False,1688.4,140.7,12.37,2024-11-23
SHN_MSR_000006,SKU_000011,FAC_SHN_0008,67,False,1098.8,208.77,15.97,2024-11-10
SHN_MSR_000007,SKU_000067,FAC_SHN_0003,114,False,1112.64,155.77,19.43,2024-11-18
SHN_MSR_000008,SKU_000545,FAC_SHN_0015,79,False,1860.45,353.49,18.14,2023-06-12
SHN_MSR_000009,SKU_000024,FAC_SHN_0003,138,False,4077.9,239.24,10.52,2023-05-09
SHN_MSR_000010,SKU_000700,FAC_SHN_0003,54,False,850.5,49.9,13.08,2024-03-29
SHN_MSR_000011,SKU_000345,FAC_SHN_0017,174,False,39411.0,157.64,12.24,2024-08-22
SHN_MSR_000012,SKU_000149,FAC_SHN_0012,73,False,1594.32,132.86,9.28,2024-03-26
SHN_MSR_000013,SKU_000624,FAC_SHN_0009,9585,True,27604.8,2300.4,15.44,2024-08-06
SHN_MSR_000014,SKU_000945,FAC_SHN_0013,90,False,756.0,56.7,17.29,2023-12-28
SHN_MSR_000015,SKU_000458,FAC_SHN_0012,113,False,1518.72,126.56,10.01,2024-05-17
SHN_MSR_000016,SKU_000689,FAC_SHN_0015,140,False,2226.0,166.95,10.78,2023-09-20
SHN_MSR_000017,SKU_000318,FAC_SHN_0013,9380,True,65660.0,12475.4,12.21,2023-07-10
SHN_MSR_000018,SKU_000845,FAC_SHN_0002,132,False,80982.0,323.93,15.64,2024-11-09
SHN_MSR_000019,SKU_000553,FAC_SHN_0012,54,False,10368.0,41.47,11.29,2023-07-21
SHN_MSR_000020,SKU_000606,FAC_SHN_0014,137,False,937.08,78.09,17.14,2023-06-13
SHN_MSR_000021,SKU_000737,FAC_SHN_0017,8810,True,197344.0,14800.8,14.43,2023-08-24
SHN_MSR_000022,SKU_000016,FAC_SHN_0014,72,False,1111.68,155.64,11.95,2023-01-30
SHN_MSR_000023,SKU_000191,FAC_SHN_0018,51,False,963.9,72.29,15.63,2024-03-26
SHN_MSR_000024,SKU_000492,FAC_SHN_0012,175,False,2765.0,207.38,13.1,2024-10-08
SHN_MSR_000025,SKU_000942,FAC_SHN_0016,133,False,1303.4,247.65,11.52,2024-02-05
SHN_MSR_000026,SKU_000618,FAC_SHN_0013,132,False,26334.0,105.34,18.64,2023-07-08
SHN_MSR_000027,SKU_000584,FAC_SHN_0010,84,False,15624.0,62.5,15.88,2023-08-24
SHN_MSR_000028,SKU_000738,FAC_SHN_0019,130,False,1372.8,192.19,14.74,2024-01-22
SHN_MSR_000029,SKU_000007,FAC_SHN_0015,67,False,1336.65,78.42,8.92,2024-12-25
SHN_MSR_000030,SKU_000605,FAC_SHN_0004,134,False,1211.36,169.59,15.42,2024-09-12
SHN_MSR_000031,SKU_000946,FAC_SHN_0012,138,False,1148.16,160.74,5.71,2024-08-09
SHN_MSR_000032,SKU_000371,FAC_SHN_0008,101,False,1504.9,112.87,17.17,2023-05-07
SHN_MSR_000033,SKU_000971,FAC_SHN_0011,7686,True,151260.48,12605.04,17.8,2024-01-24
SHN_MSR_000034,SKU_000773,FAC_SHN_0012,149,False,5207.55,305.51,15.22,2023-07-09
SHN_MSR_000035,SKU_000002,FAC_SHN_0018,98,False,921.2,175.03,15.28,2023-02-08
SHN_MSR_000036,SKU_000834,FAC_SHN_0006,126,False,3364.2,197.37,9.57,2023-07-01
SHN_MSR_000037,SKU_000001,FAC_SHN_0006,173,False,45153.0,180.61,5.43,2023-07-08
SHN_MSR_000038,SKU_000970,FAC_SHN_0009,172,False,3560.4,208.88,5.42,2023-05-10
