factory_id,factory_name,country_code,local_water_stress_index,energy_mix_carbon_intensity
FAC_SPC_001,SPARC_Vendor_1,HN,3.6,0.4
FAC_SPC_002,SPARC_Vendor_2,HN,1.9,0.42
FAC_SPC_003,SPARC_Vendor_3,SV,2.7,0.38
FAC_SPC_004,SPARC_Vendor_4,GT,3.8,0.45
FAC_SPC_005,SPARC_Vendor_5,MX,2.6,0.5
FAC_SPC_006,SPARC_Vendor_6,MX,1.6,0.52
FAC_SPC_007,SPARC_Vendor_7,VN,3.8,0.7
FAC_SPC_008,SPARC_Vendor_8,VN,3.1,0.72
FAC_SPC_009,SPARC_Vendor_9,VN,1.8,0.68
FAC_SPC_010,SPARC_Vendor_10,KH,2.8,0.65
FAC_SPC_011,SPARC_Vendor_11,KH,3.7,0.66
FAC_SPC_012,SPARC_Vendor_12,CN,2.1,0.88
FAC_SPC_013,SPARC_Vendor_13,CN,1.6,0.85
FAC_SPC_014,SPARC_Vendor_14,HN,1.7,0.41
FAC_SPC_015,SPARC_Vendor_15,SV,3.7,0.39
FAC_SPC_016,SPARC_Vendor_16,VN,2.9,0.71
FAC_SPC_017,SPARC_Vendor_17,KH,3.8,0.64
FAC_SPC_018,SPARC_Vendor_18,MX,3.1,0.48
FAC_SPC_019,SPARC_Vendor_19,IN,2.2,0.89
FAC_SPC_020,SPARC_Vendor_20,ID,2.4,0.6
