shipment_id,product_id,origin_factory_id,destination_id,transport_id,distance_km,shipped_quantity,total_weight_tons,transport_co2_footprint,transport_nox_footprint,transport_sox_footprint
SHP_SPARC_000000,SPC_PRD_0525,FAC_SPC_011,DST_SPARC_002,T_RAIL,12066.11,4876,1.141,302.88,27.53,13.77
SHP_SPARC_000001,SPC_PRD_0125,FAC_SPC_006,DST_SPARC_002,T_ROAD_D,12199.47,4029,2.7155,3478.46,132.51,33.13
SHP_SPARC_000002,SPC_PRD_0389,FAC_SPC_004,DST_SPARC_001,T_RAIL,12176.97,2764,0.7325,196.22,17.84,8.92
SHP_SPARC_000003,SPC_PRD_0913,FAC_SPC_009,DST_SPARC_003,T_SEA,11373.5,4715,2.8149,480.22,576.27,480.22
SHP_SPARC_000004,SPC_PRD_0550,FAC_SPC_001,DST_SPARC_002,T_RAIL,12481.01,3781,1.0738,294.85,26.8,13.4
SHP_SPARC_000005,SPC_PRD_0256,FAC_SPC_007,DST_SPARC_003,T_ROAD_D,10776.26,1962,1.6265,1840.39,70.11,17.53
SHP_SPARC_000006,SPC_PRD_0588,FAC_SPC_010,DST_SPARC_002,T_ROAD_D,12147.3,2139,1.585,2021.61,77.01,19.25
SHP_SPARC_000007,SPC_PRD_0329,FAC_SPC_019,DST_SPARC_003,T_ROAD_D,12305.73,1881,1.1211,1448.54,55.18,13.8
SHP_SPARC_000008,SPC_PRD_0523,FAC_SPC_016,DST_SPARC_003,T_ROAD_D,10771.02,2680,0.9005,1018.4,38.8,9.7
SHP_SPARC_000009,SPC_PRD_0446,FAC_SPC_017,DST_SPARC_002,T_RAIL,11078.34,1611,1.2163,296.44,26.95,13.47
SHP_SPARC_000010,SPC_PRD_0256,FAC_SPC_002,DST_SPARC_003,T_SEA,10392.75,1578,1.3082,203.93,244.72,203.93
SHP_SPARC_000011,SPC_PRD_0019,FAC_SPC_006,DST_SPARC_002,T_ROAD_D,12199.47,936,0.4989,639.05,24.34,6.09
SHP_SPARC_000012,SPC_PRD_0172,FAC_SPC_002,DST_SPARC_003,T_SEA,10392.75,970,0.1591,24.8,29.76,24.8
SHP_SPARC_000013,SPC_PRD_0563,FAC_SPC_020,DST_SPARC_001,T_RAIL,11964.97,406,0.0434,11.44,1.04,0.52
SHP_SPARC_000014,SPC_PRD_0416,FAC_SPC_016,DST_SPARC_002,T_SEA,11383.91,3289,2.1411,365.62,438.74,365.62
SHP_SPARC_000015,SPC_PRD_0345,FAC_SPC_002,DST_SPARC_001,T_ROAD_D,10465.21,4016,1.2088,1328.3,50.6,12.65
SHP_SPARC_000016,SPC_PRD_0637,FAC_SPC_003,DST_SPARC_003,T_RAIL,12692.45,2974,1.9926,556.4,50.58,25.29
SHP_SPARC_000017,SPC_PRD_0111,FAC_SPC_001,DST_SPARC_003,T_ROAD_D,11636.34,4849,0.737,900.54,34.31,8.58
SHP_SPARC_000018,SPC_PRD_0358,FAC_SPC_004,DST_SPARC_003,T_ROAD_D,11831.04,3992,2.4631,3059.76,116.56,29.14
SHP_SPARC_000019,SPC_PRD_0495,FAC_SPC_011,DST_SPARC_003,T_SEA,11244.72,2466,1.8026,304.05,364.86,304.05
SHP_SPARC_000020,SPC_PRD_0810,FAC_SPC_016,DST_SPARC_002,T_ROAD_D,11383.91,1747,0.5293,632.73,24.1,6.03
SHP_SPARC_000021,SPC_PRD_0498,FAC_SPC_005,DST_SPARC_003,T_RAIL,11671.03,4663,4.4951,1154.18,104.93,52.46
SHP_SPARC_000022,SPC_PRD_0145,FAC_SPC_015,DST_SPARC_003,T_ROAD_D,10856.61,4229,5.2101,5939.25,226.26,56.56
SHP_SPARC_000023,SPC_PRD_0368,FAC_SPC_002,DST_SPARC_003,T_ROAD_D,10392.75,4320,1.3435,1466.1,55.85,13.96
SHP_SPARC_000024,SPC_PRD_0201,FAC_SPC_004,DST_SPARC_001,T_SEA,12176.97,3592,4.2493,776.16,931.39,776.16
SHP_SPARC_000025,SPC_PRD_0984,FAC_SPC_009,DST_SPARC_003,T_ROAD_D,11373.5,4555,2.7057,3231.16,123.09,30.77
SHP_SPARC_000026,SPC_PRD_0297,FAC_SPC_001,DST_SPARC_001,T_SEA,11773.54,2452,0.7748,136.84,164.21,136.84
SHP_SPARC_000027,SPC_PRD_0554,FAC_SPC_005,DST_SPARC_003,T_ROAD_D,11671.03,1892,0.2933,359.38,13.69,3.42
SHP_SPARC_000028,SPC_PRD_0867,FAC_SPC_015,DST_SPARC_001,T_ROAD_D,11222.17,1354,1.2078,1423.15,54.22,13.55
SHP_SPARC_000029,SPC_PRD_0836,FAC_SPC_006,DST_SPARC_001,T_SEA,11391.53,2876,2.9709,507.65,609.18,507.65
SHP_SPARC_000030,SPC_PRD_0609,FAC_SPC_020,DST_SPARC_001,T_RAIL,11964.97,3033,0.4883,128.54,11.69,5.84
SHP_SPARC_000031,SPC_PRD_0088,FAC_SPC_011,DST_SPARC_002,T_RAIL,12066.11,3387,0.9551,253.54,23.05,11.52
SHP_SPARC_000032,SPC_PRD_0223,FAC_SPC_019,DST_SPARC_001,T_SEA,12316.45,1031,0.866,160.0,192.0,160.0
SHP_SPARC_000033,SPC_PRD_0025,FAC_SPC_018,DST_SPARC_003,T_SEA,11274.64,1041,0.5601,94.72,113.66,94.72
SHP_SPARC_000034,SPC_PRD_0135,FAC_SPC_001,DST_SPARC_003,T_SEA,11636.34,3671,2.6982,470.95,565.15,470.95
SHP_SPARC_000035,SPC_PRD_0272,FAC_SPC_014,DST_SPARC_001,T_SEA,10860.96,3702,3.8612,629.04,754.85,629.04
SHP_SPARC_000036,SPC_PRD_0205,FAC_SPC_016,DST_SPARC_002,T_SEA,11383.91,2039,0.9257,158.07,189.69,158.07
SHP_SPARC_000037,SPC_PRD_0938,FAC_SPC_012,DST_SPARC_001,T_ROAD_D,11718.94,878,0.8991,1106.3,42.14,10.54
SHP_SPARC_000038,SPC_PRD_0638,FAC_SPC_009,DST_SPARC_002,T_ROAD_D,12344.26,873,0.6792,880.34,33.54,8.38
SHP_SPARC_000039,SPC_PRD_0375,FAC_SPC_014,DST_SPARC_001,T_RAIL,10860.96,1690,0.8636,206.35,18.76,9.38
SHP_SPARC_000040,SPC_PRD_0682,FAC_SPC_006,DST_SPARC_003,T_RAIL,11303.59,2634,0.835,207.64,18.88,9.44
SHP_SPARC_000041,SPC_PRD_0778,FAC_SPC_020,DST_SPARC_002,T_ROAD_D,13524.5,781,0.4007,568.96,21.67,5.42
SHP_SPARC_000042,SPC_PRD_0811,FAC_SPC_003,DST_SPARC_002,T_SEA,13772.77,3720,2.1985,454.2,545.03,454.2
SHP_SPARC_000043,SPC_PRD_0405,FAC_SPC_013,DST_SPARC_003,T_ROAD_D,12016.4,1187,1.6808,2120.69,80.79,20.2
