measurement_id,product_id,factory_id,production_volume,shipping_mode,total_water_footprint,total_carbon_footprint,waste_percentage,timestamp
SPC_MSR_00000,SPC_PRD_0084,FAC_SPC_020,1825,Ocean_Freight,1583370.0,4222.32,10.3,2023-12-24
SPC_MSR_00001,SPC_PRD_0877,FAC_SPC_015,11082,Truck_Rail,190832.04,28624.81,6.28,2024-02-28
SPC_MSR_00002,SPC_PRD_0874,FAC_SPC_016,5738,Ocean_Freight,2323890.0,6197.04,6.04,2023-04-04
SPC_MSR_00003,SPC_PRD_0953,FAC_SPC_012,2344,Air_Freight,1037923.2,2767.8,12.07,2023-03-04
SPC_MSR_00004,SPC_PRD_0870,FAC_SPC_018,1311,Truck_Rail,2725569.0,7268.18,9.64,2023-09-17
SPC_MSR_00005,SPC_PRD_0397,FAC_SPC_019,5490,Ocean_Freight,10074150.0,24983.89,4.48,2024-04-30
SPC_MSR_00006,SPC_PRD_0056,FAC_SPC_014,24058,Truck_Rail,12810885.0,31770.99,13.51,2024-01-12
SPC_MSR_00007,SPC_PRD_0188,FAC_SPC_007,9810,Ocean_Freight,21827250.0,54131.58,5.86,2023-02-26
SPC_MSR_00008,SPC_PRD_0157,FAC_SPC_005,12568,Truck_Rail,12351830.4,32938.21,12.78,2024-12-30
SPC_MSR_00009,SPC_PRD_0775,FAC_SPC_020,14941,Ocean_Freight,613178.64,71537.51,3.34,2023-02-02
SPC_MSR_00010,SPC_PRD_0762,FAC_SPC_011,14866,Ocean_Freight,9847238.4,26259.3,7.13,2024-02-04
SPC_MSR_00011,SPC_PRD_0795,FAC_SPC_014,2505,Truck_Rail,4120725.0,10219.4,3.3,2023-02-15
SPC_MSR_00012,SPC_PRD_0735,FAC_SPC_020,7866,Ocean_Freight,125541.36,14646.49,12.22,2023-02-20
SPC_MSR_00013,SPC_PRD_0410,FAC_SPC_008,22828,Ocean_Freight,385108.36,57766.25,4.38,2023-10-25
SPC_MSR_00014,SPC_PRD_0359,FAC_SPC_004,14040,Truck_Rail,1612353.6,47026.98,10.08,2024-07-10
SPC_MSR_00015,SPC_PRD_0387,FAC_SPC_012,38115,Ocean_Freight,410879.7,61631.96,3.95,2023-10-27
SPC_MSR_00016,SPC_PRD_0374,FAC_SPC_003,9991,Truck_Rail,1430311.56,41717.42,4.3,2024-09-23
SPC_MSR_00017,SPC_PRD_0048,FAC_SPC_004,7478,Truck_Rail,13703435.0,33984.52,3.2,2023-11-03
SPC_MSR_00018,SPC_PRD_0779,FAC_SPC_019,4815,Ocean_Freight,431616.6,12588.82,8.75,2024-02-01
SPC_MSR_00019,SPC_PRD_0384,FAC_SPC_017,2396,Ocean_Freight,1466352.0,39102.72,5.24,2024-06-18
SPC_MSR_00020,SPC_PRD_0477,FAC_SPC_005,11411,Truck_Rail,158841.12,18531.46,10.93,2024-03-12
SPC_MSR_00021,SPC_PRD_0299,FAC_SPC_016,13913,Ocean_Freight,13949173.8,37197.8,5.58,2023-03-07
SPC_MSR_00022,SPC_PRD_0145,FAC_SPC_005,14107,Truck_Rail,2085578.88,60829.38,6.02,2024-11-11
SPC_MSR_00023,SPC_PRD_0786,FAC_SPC_003,11955,Truck_Rail,271856.7,31716.62,14.61,2024-12-01
SPC_MSR_00024,SPC_PRD_0222,FAC_SPC_017,13046,Ocean_Freight,585504.48,68308.86,7.05,2023-02-12
SPC_MSR_00025,SPC_PRD_0258,FAC_SPC_013,3045,Ocean_Freight,60656.4,7076.58,12.46,2023-01-21
SPC_MSR_00026,SPC_PRD_0598,FAC_SPC_017,10053,Ocean_Freight,156826.8,18296.46,13.45,2024-12-11
SPC_MSR_00027,SPC_PRD_0719,FAC_SPC_012,10564,Ocean_Freight,3570103.8,95202.77,11.29,2023-07-30
SPC_MSR_00028,SPC_PRD_0959,FAC_SPC_017,31331,Ocean_Freight,307043.8,46056.57,14.69,2023-08-09
SPC_MSR_00029,SPC_PRD_0798,FAC_SPC_001,14554,Truck_Rail,24669030.0,61179.19,10.06,2024-11-11
SPC_MSR_00030,SPC_PRD_0866,FAC_SPC_020,4774,Ocean_Freight,9810570.0,24330.21,5.23,2023-05-15
SPC_MSR_00031,SPC_PRD_0596,FAC_SPC_007,10093,Ocean_Freight,19126235.0,47433.06,3.18,2023-10-14
SPC_MSR_00032,SPC_PRD_0235,FAC_SPC_011,11084,Ocean_Freight,382508.84,57376.33,5.32,2023-10-07
SPC_MSR_00033,SPC_PRD_0100,FAC_SPC_003,32513,Truck_Rail,648634.35,97295.15,14.11,2024-06-16
SPC_MSR_00034,SPC_PRD_0726,FAC_SPC_019,9422,Ocean_Freight,266831.04,31130.29,4.22,2023-09-26
SPC_MSR_00035,SPC_PRD_0230,FAC_SPC_003,1307,Truck_Rail,701662.95,18711.01,13.08,2023-03-06
SPC_MSR_00036,SPC_PRD_0178,FAC_SPC_019,4596,Ocean_Freight,583508.16,17018.99,4.25,2023-12-20
SPC_MSR_00037,SPC_PRD_0020,FAC_SPC_006,1157,Truck_Rail,216069.75,5761.86,8.4,2023-06-01
SPC_MSR_00038,SPC_PRD_0881,FAC_SPC_008,10466,Ocean_Freight,242497.22,36374.58,14.12,2023-02-16
SPC_MSR_00039,SPC_PRD_0923,FAC_SPC_002,1479,Truck_Rail,568379.7,15156.79,12.95,2023-01-27
SPC_MSR_00040,SPC_PRD_0094,FAC_SPC_013,40669,Ocean_Freight,546591.36,81988.7,14.42,2024-10-20
SPC_MSR_00041,SPC_PRD_0644,FAC_SPC_001,13992,Truck_Rail,27774120.0,68879.82,13.84,2023-08-22
SPC_MSR_00042,SPC_PRD_0056,FAC_SPC_016,33234,Air_Freight,17697105.0,43888.82,7.73,2023-02-17
SPC_MSR_00043,SPC_PRD_0643,FAC_SPC_001,1286,Truck_Rail,1738414.8,4635.77,11.75,2024-06-15
SPC_MSR_00044,SPC_PRD_0738,FAC_SPC_008,6554,Ocean_Freight,950854.32,27733.25,10.54,2023-05-02
SPC_MSR_00045,SPC_PRD_0979,FAC_SPC_019,7658,Ocean_Freight,215036.64,25087.61,6.62,2023-02-10
SPC_MSR_00046,SPC_PRD_0137,FAC_SPC_018,2427,Truck_Rail,4556692.5,11300.6,10.53,2024-03-25
SPC_MSR_00047,SPC_PRD_0109,FAC_SPC_006,25697,Truck_Rail,491069.67,73660.45,14.13,2024-10-27
SPC_MSR_00048,SPC_PRD_0372,FAC_SPC_013,471,Ocean_Freight,190543.05,5081.15,11.04,2023-09-19
SPC_MSR_00049,SPC_PRD_0039,FAC_SPC_012,13892,Ocean_Freight,11627604.0,31006.94,7.07,2024-03-26
SPC_MSR_00050,SPC_PRD_0260,FAC_SPC_009,2646,Ocean_Freight,4187295.0,10384.49,5.0,2024-04-19
SPC_MSR_00051,SPC_PRD_0047,FAC_SPC_005,12332,Truck_Rail,418054.8,48773.06,9.98,2024-08-14
SPC_MSR_00052,SPC_PRD_0968,FAC_SPC_005,33967,Truck_Rail,473160.31,70974.05,11.18,2024-03-01
SPC_MSR_00053,SPC_PRD_0583,FAC_SPC_009,976,Ocean_Freight,1340438.4,3574.5,7.95,2024-09-06
SPC_MSR_00054,SPC_PRD_0157,FAC_SPC_009,8027,Ocean_Freight,7888935.6,21037.16,13.51,2023-10-24
SPC_MSR_00055,SPC_PRD_0542,FAC_SPC_002,12036,Truck_Rail,443165.52,66474.83,3.62,2024-01-29
SPC_MSR_00056,SPC_PRD_0708,FAC_SPC_006,757,Truck_Rail,382209.3,10192.25,13.22,2023-01-07
SPC_MSR_00057,SPC_PRD_0073,FAC_SPC_003,11229,Truck_Rail,22738725.0,56392.04,12.53,2023-09-29
SPC_MSR_00058,SPC_PRD_0908,FAC_SPC_006,7012,Truck_Rail,12446300.0,30866.82,13.04,2024-01-07
SPC_MSR_00059,SPC_PRD_0825,FAC_SPC_005,12881,Truck_Rail,239586.6,27951.77,9.22,2024-02-25
SPC_MSR_00060,SPC_PRD_0454,FAC_SPC_019,5428,Ocean_Freight,5803617.6,15476.31,9.75,2024-04-25
SPC_MSR_00061,SPC_PRD_0711,FAC_SPC_005,13462,Truck_Rail,1691365.68,49331.5,9.03,2023-03-26
SPC_MSR_00062,SPC_PRD_0499,FAC_SPC_018,4559,Truck_Rail,8479740.0,21029.76,11.92,2023-09-24
SPC_MSR_00063,SPC_PRD_0662,FAC_SPC_016,10293,Ocean_Freight,119810.52,13977.89,8.12,2023-09-10
SPC_MSR_00064,SPC_PRD_0720,FAC_SPC_014,42113,Truck_Rail,23372715.0,57964.33,4.44,2023-02-19
SPC_MSR_00065,SPC_PRD_0576,FAC_SPC_016,40246,Ocean_Freight,17205165.0,42668.81,12.27,2023-10-28
SPC_MSR_00066,SPC_PRD_0486,FAC_SPC_013,8556,Air_Freight,17753700.0,44029.18,5.7,2023-01-31
SPC_MSR_00067,SPC_PRD_0885,FAC_SPC_017,311,Ocean_Freight,61438.05,1638.35,5.71,2024-10-11
SPC_MSR_00068,SPC_PRD_0878,FAC_SPC_006,12852,Truck_Rail,24772230.0,61435.13,9.15,2023-10-11
SPC_MSR_00069,SPC_PRD_0978,FAC_SPC_001,10425,Truck_Rail,120096.0,14011.2,5.05,2023-06-08
SPC_MSR_00070,SPC_PRD_0487,FAC_SPC_009,445,Ocean_Freight,224880.75,5996.82,4.87,2024-01-31
SPC_MSR_00071,SPC_PRD_0789,FAC_SPC_016,7722,Ocean_Freight,6796904.4,18125.08,7.98,2023-02-07
SPC_MSR_00072,SPC_PRD_0997,FAC_SPC_013,494,Air_Freight,88253.1,2353.42,5.05,2024-03-30
SPC_MSR_00073,SPC_PRD_0417,FAC_SPC_011,12459,Ocean_Freight,373770.0,43606.5,13.51,2023-12-31
SPC_MSR_00074,SPC_PRD_0990,FAC_SPC_016,6259,Ocean_Freight,669212.28,19518.69,7.41,2023-07-15
SPC_MSR_00075,SPC_PRD_0926,FAC_SPC_010,14102,Ocean_Freight,287680.8,33562.76,12.31,2024-11-22
SPC_MSR_00076,SPC_PRD_0423,FAC_SPC_007,10586,Ocean_Freight,360135.72,42015.83,8.52,2024-06-24
SPC_MSR_00077,SPC_PRD_0848,FAC_SPC_019,18645,Ocean_Freight,7970737.5,19767.43,12.63,2024-10-08
SPC_MSR_00078,SPC_PRD_0785,FAC_SPC_016,39400,Air_Freight,821884.0,123282.6,12.56,2024-10-10
SPC_MSR_00079,SPC_PRD_0415,FAC_SPC_006,6892,Truck_Rail,702156.96,20479.58,10.24,2023-02-13
SPC_MSR_00080,SPC_PRD_0644,FAC_SPC_002,5779,Truck_Rail,11471315.0,28448.86,9.53,2024-11-20
SPC_MSR_00081,SPC_PRD_0881,FAC_SPC_012,4174,Ocean_Freight,96711.58,14506.74,14.11,2023-08-12
SPC_MSR_00082,SPC_PRD_0903,FAC_SPC_016,34888,Ocean_Freight,13257440.0,32878.45,6.59,2023-09-28
SPC_MSR_00083,SPC_PRD_0732,FAC_SPC_014,5127,Truck_Rail,1880327.25,50142.06,10.31,2023-01-18
SPC_MSR_00084,SPC_PRD_0995,FAC_SPC_019,852,Ocean_Freight,184798.8,4927.97,5.14,2024-12-16
SPC_MSR_00085,SPC_PRD_0572,FAC_SPC_015,1498,Truck_Rail,2833916.4,7557.11,6.98,2023-08-24
SPC_MSR_00086,SPC_PRD_0747,FAC_SPC_003,4457,Truck_Rail,209389.86,24428.82,4.64,2024-11-04
SPC_MSR_00087,SPC_PRD_0083,FAC_SPC_010,748,Ocean_Freight,739173.6,1971.13,11.85,2023-03-28
SPC_MSR_00088,SPC_PRD_0974,FAC_SPC_010,7810,Ocean_Freight,11207350.0,27794.23,6.63,2024-07-14
SPC_MSR_00089,SPC_PRD_0569,FAC_SPC_013,842,Ocean_Freight,316002.6,8426.74,11.63,2023-10-06
SPC_MSR_00090,SPC_PRD_0290,FAC_SPC_012,14466,Ocean_Freight,5546264.4,14790.04,11.48,2024-04-22
SPC_MSR_00091,SPC_PRD_0528,FAC_SPC_005,14568,Truck_Rail,32086020.0,79573.33,8.97,2023-11-16
SPC_MSR_00092,SPC_PRD_0963,FAC_SPC_015,13954,Truck_Rail,469691.64,54797.36,14.33,2024-01-01
SPC_MSR_00093,SPC_PRD_0732,FAC_SPC_002,14796,Truck_Rail,5426433.0,144704.88,8.29,2024-09-20
SPC_MSR_00094,SPC_PRD_0305,FAC_SPC_014,683,Truck_Rail,767145.6,2045.72,5.39,2024-04-02
SPC_MSR_00095,SPC_PRD_0396,FAC_SPC_001,26890,Truck_Rail,19898600.0,49348.53,8.46,2024-07-02
SPC_MSR_00096,SPC_PRD_0866,FAC_SPC_007,10270,Air_Freight,21104850.0,52340.03,14.41,2023-12-24
SPC_MSR_00097,SPC_PRD_0642,FAC_SPC_016,6096,Air_Freight,12451080.0,30878.68,14.79,2024-12-05
SPC_MSR_00098,SPC_PRD_0271,FAC_SPC_006,23933,Truck_Rail,373594.13,56039.12,8.56,2024-01-22
SPC_MSR_00099,SPC_PRD_0923,FAC_SPC_017,406,Ocean_Freight,156025.8,4160.69,13.85,2024-03-08
SPC_MSR_00100,SPC_PRD_0410,FAC_SPC_003,38916,Truck_Rail,656512.92,98476.94,14.88,2024-11-14
SPC_MSR_00101,SPC_PRD_0728,FAC_SPC_006,14330,Truck_Rail,18557350.0,46022.23,10.85,2023-07-25
SPC_MSR_00102,SPC_PRD_0555,FAC_SPC_019,1976,Ocean_Freight,1337356.8,3566.28,14.38,2024-10-05
SPC_MSR_00103,SPC_PRD_0941,FAC_SPC_009,4870,Ocean_Freight,198988.2,23215.29,7.15,2023-10-26
SPC_MSR_00104,SPC_PRD_0515,FAC_SPC_017,687,Ocean_Freight,276998.4,7386.62,14.25,2023-12-10
SPC_MSR_00105,SPC_PRD_0569,FAC_SPC_006,1775,Truck_Rail,666157.5,17764.2,13.99,2023-10-20
SPC_MSR_00106,SPC_PRD_0835,FAC_SPC_003,14422,Truck_Rail,249356.38,37403.46,6.43,2024-09-15
SPC_MSR_00107,SPC_PRD_0471,FAC_SPC_009,3868,Ocean_Freight,896409.0,23904.24,4.66,2023-04-06
SPC_MSR_00108,SPC_PRD_0301,FAC_SPC_018,1356,Truck_Rail,291065.4,7761.74,8.59,2024-10-18
SPC_MSR_00109,SPC_PRD_0166,FAC_SPC_020,13176,Air_Freight,444558.24,66683.74,9.02,2023-12-07
SPC_MSR_00110,SPC_PRD_0652,FAC_SPC_015,2696,Truck_Rail,115334.88,13455.74,5.33,2023-01-02
SPC_MSR_00111,SPC_PRD_0653,FAC_SPC_011,4797,Ocean_Freight,7363395.0,18261.22,3.24,2023-06-09
SPC_MSR_00112,SPC_PRD_0981,FAC_SPC_004,3928,Truck_Rail,40536.96,4729.31,13.64,2023-11-26
SPC_MSR_00113,SPC_PRD_0694,FAC_SPC_002,41211,Truck_Rail,799081.29,119862.19,13.06,2023-03-17
SPC_MSR_00114,SPC_PRD_0388,FAC_SPC_019,752,Ocean_Freight,158709.6,4232.26,4.6,2023-01-14
SPC_MSR_00115,SPC_PRD_0495,FAC_SPC_009,5575,Air_Freight,244519.5,28527.28,11.54,2023-05-08
SPC_MSR_00116,SPC_PRD_0804,FAC_SPC_012,11237,Ocean_Freight,214739.07,32210.86,12.15,2023-12-08
SPC_MSR_00117,SPC_PRD_0250,FAC_SPC_015,12453,Truck_Rail,20360655.0,50494.42,4.03,2024-03-20
