factory_id,factory_name,country_code,local_water_stress_index,energy_mix_carbon_intensity
FAC_TED_001,Teddy_Supplier_1,IT,3.1,0.25
FAC_TED_002,Teddy_Supplier_2,IT,3.4,0.25
FAC_TED_003,Teddy_Supplier_3,IT,1.7,0.25
FAC_TED_004,Teddy_Supplier_4,IT,1.2,0.25
FAC_TED_005,Teddy_Supplier_5,IT,1.7,0.25
FAC_TED_006,Teddy_Supplier_6,BD,1.4,0.9
FAC_TED_007,Teddy_Supplier_7,BD,3.5,0.92
FAC_TED_008,Teddy_Supplier_8,BD,3.4,0.9
FAC_TED_009,Teddy_Supplier_9,CN,2.7,0.85
FAC_TED_010,Teddy_Supplier_10,CN,2.6,0.88
FAC_TED_011,Teddy_Supplier_11,IN,1.1,0.89
FAC_TED_012,Teddy_Supplier_12,IN,3.6,0.9
FAC_TED_013,Teddy_Supplier_13,TR,3.1,0.6
FAC_TED_014,Teddy_Supplier_14,TR,4.4,0.55
FAC_TED_015,Teddy_Supplier_15,EG,3.3,0.7
FAC_TED_016,Teddy_Supplier_16,PK,3.1,0.75
FAC_TED_017,Teddy_Supplier_17,IT,2.6,0.25
FAC_TED_018,Teddy_Supplier_18,IT,1.8,0.25
FAC_TED_019,Teddy_Supplier_19,BD,3.3,0.91
FAC_TED_020,Teddy_Supplier_20,CN,3.6,0.87
