shipment_id,product_id,origin_factory_id,destination_id,transport_id,distance_km,shipped_quantity,total_weight_tons,transport_co2_footprint,transport_nox_footprint,transport_sox_footprint
SHP_TEDDY_000000,TED_PRD_0039,FAC_TED_004,DST_TEDDY_001,T_RAIL,8163.79,3884,1.2118,217.64,19.79,9.89
SHP_TEDDY_000001,TED_PRD_0870,FAC_TED_017,DST_TEDDY_002,T_SEA,7753.84,263,0.0366,4.25,5.1,4.25
SHP_TEDDY_000002,TED_PRD_0561,FAC_TED_006,DST_TEDDY_003,T_ROAD_D,7284.47,4225,0.4605,352.24,13.42,3.35
SHP_TEDDY_000003,TED_PRD_0847,FAC_TED_004,DST_TEDDY_003,T_SEA,8273.26,4262,1.9051,236.42,283.71,236.42
SHP_TEDDY_000004,TED_PRD_0060,FAC_TED_003,DST_TEDDY_001,T_RAIL,6286.86,1579,0.1816,25.12,2.28,1.14
SHP_TEDDY_000005,TED_PRD_0635,FAC_TED_006,DST_TEDDY_001,T_ROAD_D,7149.15,344,0.397,297.99,11.35,2.84
SHP_TEDDY_000006,TED_PRD_0512,FAC_TED_004,DST_TEDDY_003,T_ROAD_D,8273.26,1883,1.9433,1688.09,64.31,16.08
SHP_TEDDY_000007,TED_PRD_0369,FAC_TED_015,DST_TEDDY_001,T_ROAD_D,7180.21,1574,0.3762,283.61,10.8,2.7
SHP_TEDDY_000008,TED_PRD_0983,FAC_TED_015,DST_TEDDY_002,T_ROAD_D,6190.85,2295,0.8124,528.11,20.12,5.03
SHP_TEDDY_000009,TED_PRD_0303,FAC_TED_012,DST_TEDDY_001,T_SEA,7958.09,4784,1.7749,211.87,254.24,211.87
SHP_TEDDY_000010,TED_PRD_0425,FAC_TED_010,DST_TEDDY_002,T_SEA,6360.62,3714,1.649,157.33,188.8,157.33
SHP_TEDDY_000011,TED_PRD_0233,FAC_TED_019,DST_TEDDY_002,T_ROAD_D,5376.46,1240,0.3447,194.6,7.41,1.85
SHP_TEDDY_000012,TED_PRD_0739,FAC_TED_011,DST_TEDDY_002,T_SEA,6966.13,951,1.2021,125.61,150.73,125.61
SHP_TEDDY_000013,TED_PRD_0289,FAC_TED_001,DST_TEDDY_001,T_ROAD_D,5941.23,1073,0.1245,77.65,2.96,0.74
SHP_TEDDY_000014,TED_PRD_0479,FAC_TED_001,DST_TEDDY_001,T_ROAD_D,5941.23,3048,2.6853,1675.16,63.82,15.95
SHP_TEDDY_000015,TED_PRD_0704,FAC_TED_006,DST_TEDDY_001,T_ROAD_D,7149.15,2747,1.0466,785.65,29.93,7.48
SHP_TEDDY_000016,TED_PRD_0879,FAC_TED_019,DST_TEDDY_001,T_SEA,6345.52,4153,4.5143,429.68,515.62,429.68
SHP_TEDDY_000017,TED_PRD_0904,FAC_TED_006,DST_TEDDY_001,T_ROAD_D,7149.15,4204,1.3789,1035.1,39.43,9.86
SHP_TEDDY_000018,TED_PRD_0859,FAC_TED_019,DST_TEDDY_003,T_SEA,6478.1,3971,0.1986,19.29,23.15,19.29
