measurement_id,product_id,factory_id,production_volume,total_water_footprint,total_carbon_footprint,waste_percentage,timestamp
TED_MSR_00000,TED_PRD_0558,FAC_TED_018,428,100323.2,2884.29,7.8,2023-08-11
TED_MSR_00001,TED_PRD_0023,FAC_TED_015,13159,257587.42,31597.39,5.5,2023-03-13
TED_MSR_00002,TED_PRD_0262,FAC_TED_016,14855,12329650.0,27125.23,9.53,2024-08-06
TED_MSR_00003,TED_PRD_0556,FAC_TED_018,983,19355.27,2744.93,5.68,2024-06-12
TED_MSR_00004,TED_PRD_0505,FAC_TED_006,12167,175204.8,21491.79,5.27,2023-12-01
TED_MSR_00005,TED_PRD_0723,FAC_TED_001,634,16775.64,1267.49,6.72,2024-03-15
TED_MSR_00006,TED_PRD_0413,FAC_TED_004,710,11051.15,1567.25,4.07,2023-01-17
TED_MSR_00007,TED_PRD_0753,FAC_TED_014,301,6125.35,868.69,7.83,2024-07-20
TED_MSR_00008,TED_PRD_0729,FAC_TED_014,1074,28804.68,2176.35,7.35,2023-05-02
TED_MSR_00009,TED_PRD_0168,FAC_TED_004,772,351260.0,772.77,6.18,2023-05-05
TED_MSR_00010,TED_PRD_0939,FAC_TED_013,729,471517.2,842.0,4.13,2023-03-23
TED_MSR_00011,TED_PRD_0747,FAC_TED_016,5718,2785809.6,4974.66,3.44,2023-09-18
TED_MSR_00012,TED_PRD_0505,FAC_TED_009,3076,44294.4,5433.45,11.38,2024-07-02
TED_MSR_00013,TED_PRD_0513,FAC_TED_013,838,396541.6,708.11,3.57,2023-10-13
TED_MSR_00014,TED_PRD_0372,FAC_TED_019,14269,353871.2,10173.8,6.63,2024-11-04
TED_MSR_00015,TED_PRD_0119,FAC_TED_007,10436,42265.8,5184.6,10.29,2023-12-26
TED_MSR_00016,TED_PRD_0679,FAC_TED_014,8068,6754529.6,12061.66,3.29,2024-12-17
TED_MSR_00017,TED_PRD_0600,FAC_TED_010,12488,14891940.0,32762.27,11.9,2024-06-30
TED_MSR_00018,TED_PRD_0537,FAC_TED_018,1007,569559.2,1017.07,2.09,2023-04-22
TED_MSR_00019,TED_PRD_0246,FAC_TED_010,3662,3387350.0,7452.17,10.0,2024-01-16
TED_MSR_00020,TED_PRD_0402,FAC_TED_014,12480,28863744.0,51542.4,4.46,2024-08-05
TED_MSR_00021,TED_PRD_0627,FAC_TED_006,4831,743974.0,21389.25,8.91,2024-07-08
TED_MSR_00022,TED_PRD_0158,FAC_TED_013,5512,7639632.0,13642.2,6.7,2023-03-20
TED_MSR_00023,TED_PRD_0124,FAC_TED_003,361,18338.8,527.24,3.14,2023-06-16
TED_MSR_00024,TED_PRD_0952,FAC_TED_005,1178,147485.6,4240.21,6.39,2023-03-13
TED_MSR_00025,TED_PRD_0513,FAC_TED_002,765,361998.0,646.42,8.02,2023-01-05
TED_MSR_00026,TED_PRD_0276,FAC_TED_013,682,158496.8,4556.78,4.04,2023-04-18
TED_MSR_00027,TED_PRD_0052,FAC_TED_020,4333,2140502.0,61539.43,6.39,2023-12-11
TED_MSR_00028,TED_PRD_0804,FAC_TED_001,1123,22740.75,2789.53,11.68,2023-08-27
TED_MSR_00029,TED_PRD_0641,FAC_TED_009,4837,13894282.5,30567.42,9.14,2023-12-16
TED_MSR_00030,TED_PRD_0140,FAC_TED_013,13526,321377.76,45577.21,6.39,2023-05-16
TED_MSR_00031,TED_PRD_0079,FAC_TED_020,10870,290555.1,21953.05,5.72,2023-06-06
TED_MSR_00032,TED_PRD_0507,FAC_TED_016,8473,224195.58,16939.22,11.89,2023-03-29
