shipment_id,product_id,origin_factory_id,destination_id,transport_id,distance_km,shipped_quantity,total_weight_tons,transport_co2_footprint,transport_nox_footprint,transport_sox_footprint
SHP_UNIQLO_000000,FR_PRD_00375,FAC_FR_006,DST_UNIQLO_003,T_SEA,6565.15,2504,0.2729,26.88,32.25,26.88
SHP_UNIQLO_000001,FR_PRD_00797,FAC_FR_013,DST_UNIQLO_002,T_SEA,3556.82,3322,1.186,63.27,75.93,63.27
SHP_UNIQLO_000002,FR_PRD_00436,FAC_FR_017,DST_UNIQLO_002,T_ROAD_D,4810.44,1690,0.6997,353.4,13.46,3.37
SHP_UNIQLO_000003,FR_PRD_00828,FAC_FR_005,DST_UNIQLO_002,T_AIR,2647.53,3903,0.6128,2027.91,8.11,1.62
SHP_UNIQLO_000004,FR_PRD_00268,FAC_FR_015,DST_UNIQLO_002,T_ROAD_D,2811.46,4544,0.7907,233.4,8.89,2.22
SHP_UNIQLO_000005,FR_PRD_00584,FAC_FR_020,DST_UNIQLO_001,T_SEA,4847.7,2656,1.1554,84.01,100.82,84.01
SHP_UNIQLO_000006,FR_PRD_00494,FAC_FR_011,DST_UNIQLO_003,T_ROAD_D,7279.16,1247,0.3105,237.32,9.04,2.26
SHP_UNIQLO_000007,FR_PRD_00734,FAC_FR_013,DST_UNIQLO_001,T_SEA,5190.52,1252,0.4733,36.85,44.22,36.85
SHP_UNIQLO_000008,FR_PRD_00645,FAC_FR_017,DST_UNIQLO_002,T_SEA,4810.44,3474,1.2923,93.25,111.9,93.25
SHP_UNIQLO_000009,FR_PRD_00181,FAC_FR_020,DST_UNIQLO_003,T_SEA,7017.26,3824,0.9981,105.06,126.07,105.06
SHP_UNIQLO_000010,FR_PRD_00243,FAC_FR_009,DST_UNIQLO_002,T_ROAD_D,3574.13,808,0.2537,95.21,3.63,0.91
SHP_UNIQLO_000011,FR_PRD_00974,FAC_FR_006,DST_UNIQLO_001,T_SEA,5403.58,1980,0.79,64.03,76.84,64.03
SHP_UNIQLO_000012,FR_PRD_00847,FAC_FR_004,DST_UNIQLO_003,T_ROAD_D,6804.98,1567,0.3808,272.08,10.36,2.59
SHP_UNIQLO_000013,FR_PRD_00851,FAC_FR_003,DST_UNIQLO_002,T_RAIL,3701.83,1723,0.4445,36.2,3.29,1.65
SHP_UNIQLO_000014,FR_PRD_00220,FAC_FR_002,DST_UNIQLO_003,T_SEA,7591.05,879,0.2857,32.53,39.03,32.53
SHP_UNIQLO_000015,FR_PRD_00059,FAC_FR_002,DST_UNIQLO_001,T_SEA,4164.74,1101,0.5186,32.4,38.87,32.4
SHP_UNIQLO_000016,FR_PRD_00037,FAC_FR_019,DST_UNIQLO_003,T_SEA,7406.7,114,0.0472,5.24,6.29,5.24
SHP_UNIQLO_000017,FR_PRD_00116,FAC_FR_018,DST_UNIQLO_003,T_RAIL,8437.36,1676,0.4793,88.98,8.09,4.04
SHP_UNIQLO_000018,FR_PRD_00622,FAC_FR_016,DST_UNIQLO_001,T_ROAD_D,3502.52,1827,0.2996,110.19,4.2,1.05
SHP_UNIQLO_000019,FR_PRD_00916,FAC_FR_008,DST_UNIQLO_001,T_RAIL,4374.63,640,0.1421,13.67,1.24,0.62
SHP_UNIQLO_000020,FR_PRD_00490,FAC_FR_012,DST_UNIQLO_001,T_SEA,3009.36,4377,0.8973,40.5,48.6,40.5
SHP_UNIQLO_000021,FR_PRD_00281,FAC_FR_003,DST_UNIQLO_001,T_RAIL,5027.2,4691,0.7318,80.94,7.36,3.68
SHP_UNIQLO_000022,FR_PRD_00735,FAC_FR_007,DST_UNIQLO_003,T_ROAD_D,7567.25,1634,0.4771,379.11,14.44,3.61
SHP_UNIQLO_000023,FR_PRD_00597,FAC_FR_018,DST_UNIQLO_001,T_ROAD_D,2218.85,533,0.089,20.74,0.79,0.2
SHP_UNIQLO_000024,FR_PRD_00748,FAC_FR_014,DST_UNIQLO_003,T_RAIL,6206.53,3663,1.5201,207.57,18.87,9.43
SHP_UNIQLO_000025,FR_PRD_00314,FAC_FR_011,DST_UNIQLO_003,T_SEA,7279.16,3946,1.385,151.23,181.48,151.23
SHP_UNIQLO_000026,FR_PRD_00104,FAC_FR_003,DST_UNIQLO_002,T_ROAD_D,3701.83,3453,0.6319,245.61,9.36,2.34
SHP_UNIQLO_000027,FR_PRD_00081,FAC_FR_006,DST_UNIQLO_002,T_SEA,3878.29,4137,1.4149,82.31,98.77,82.31
SHP_UNIQLO_000028,FR_PRD_00083,FAC_FR_002,DST_UNIQLO_003,T_ROAD_D,7591.05,2646,0.688,548.35,20.89,5.22
SHP_UNIQLO_000029,FR_PRD_00840,FAC_FR_002,DST_UNIQLO_002,T_RAIL,2546.55,563,0.1177,6.59,0.6,0.3
SHP_UNIQLO_000030,FR_PRD_00715,FAC_FR_018,DST_UNIQLO_003,T_SEA,8437.36,3800,1.007,127.45,152.94,127.45
SHP_UNIQLO_000031,FR_PRD_00453,FAC_FR_015,DST_UNIQLO_003,T_RAIL,7313.45,1821,0.2968,47.76,4.34,2.17
SHP_UNIQLO_000032,FR_PRD_00943,FAC_FR_009,DST_UNIQLO_002,T_RAIL,3574.13,2600,0.9464,74.42,6.77,3.38
SHP_UNIQLO_000033,FR_PRD_00933,FAC_FR_013,DST_UNIQLO_003,T_SEA,7193.83,170,0.0359,3.87,4.64,3.87
SHP_UNIQLO_000034,FR_PRD_00491,FAC_FR_007,DST_UNIQLO_002,T_ROAD_D,1642.03,768,0.2642,45.55,1.74,0.43
SHP_UNIQLO_000035,FR_PRD_00598,FAC_FR_001,DST_UNIQLO_001,T_SEA,3226.55,463,0.1593,7.71,9.25,7.71
SHP_UNIQLO_000036,FR_PRD_00463,FAC_FR_017,DST_UNIQLO_002,T_RAIL,4810.44,865,0.2137,22.61,2.06,1.03
SHP_UNIQLO_000037,FR_PRD_00727,FAC_FR_012,DST_UNIQLO_003,T_SEA,9841.79,1637,0.352,51.96,62.35,51.96
