measurement_id,product_id,factory_id,production_volume_units,defect_rate_ppm,total_water_footprint,total_carbon_footprint,waste_percentage,timestamp
FR_MSR_000000,FR_PRD_00237,FAC_FR_003,8051,29,2379070.5,7137.21,2.68,2024-12-25
FR_MSR_000001,FR_PRD_00101,FAC_FR_005,9861,115,194853.36,16562.54,1.99,2023-01-22
FR_MSR_000002,FR_PRD_00528,FAC_FR_011,5040,138,510048.0,19126.8,4.9,2024-10-17
FR_MSR_000003,FR_PRD_00633,FAC_FR_017,8724,50,1033794.0,39628.77,4.51,2024-06-11
FR_MSR_000004,FR_PRD_00537,FAC_FR_017,8655,144,234723.6,19951.51,2.4,2023-09-20
FR_MSR_000005,FR_PRD_00525,FAC_FR_004,7309,87,2543532.0,7630.6,4.96,2023-05-09
FR_MSR_000006,FR_PRD_00790,FAC_FR_004,6857,38,214486.96,18231.39,3.98,2024-12-04
FR_MSR_000007,FR_PRD_00755,FAC_FR_015,7379,111,123967.2,10537.21,1.39,2024-09-08
FR_MSR_000008,FR_PRD_00959,FAC_FR_009,388716,34,7090179.84,502221.07,3.77,2023-04-27
FR_MSR_000009,FR_PRD_00700,FAC_FR_019,2218,137,281242.4,10546.59,1.75,2024-11-28
FR_MSR_000010,FR_PRD_00781,FAC_FR_003,2989,66,95648.0,8130.08,1.99,2023-04-16
FR_MSR_000011,FR_PRD_00474,FAC_FR_004,8884,11,165242.4,11704.67,2.29,2024-07-01
FR_MSR_000012,FR_PRD_00611,FAC_FR_004,114294,137,48003480.0,144010.44,2.42,2023-06-21
FR_MSR_000013,FR_PRD_00386,FAC_FR_011,7558,110,217670.4,15418.32,2.2,2024-12-13
FR_MSR_000014,FR_PRD_00860,FAC_FR_002,9709,63,5286550.5,15859.65,2.19,2023-12-08
FR_MSR_000015,FR_PRD_00442,FAC_FR_013,382939,150,220572864.0,661718.59,2.71,2024-11-26
FR_MSR_000016,FR_PRD_00574,FAC_FR_001,294074,143,166298847.0,498896.54,2.27,2023-07-22
FR_MSR_000017,FR_PRD_00100,FAC_FR_008,7219,26,3129436.5,9388.31,3.88,2024-11-14
FR_MSR_000018,FR_PRD_00933,FAC_FR_015,395941,44,10025226.12,710120.18,4.7,2024-02-01
FR_MSR_000019,FR_PRD_00525,FAC_FR_008,7992,44,2781216.0,8343.65,1.97,2023-09-18
FR_MSR_000020,FR_PRD_00973,FAC_FR_013,2245,32,263338.5,10094.64,2.26,2023-07-10
FR_MSR_000021,FR_PRD_00148,FAC_FR_018,4906,72,622571.4,23865.24,4.12,2023-07-26
FR_MSR_000022,FR_PRD_00045,FAC_FR_007,319806,71,54878709.6,2057951.61,1.25,2024-05-20
FR_MSR_000023,FR_PRD_00824,FAC_FR_004,256700,56,4600064.0,391005.44,1.21,2023-05-16
FR_MSR_000024,FR_PRD_00747,FAC_FR_019,2243,115,41809.52,3553.81,4.62,2024-11-29
FR_MSR_000025,FR_PRD_00441,FAC_FR_016,261530,118,28088322.0,1076719.01,4.73,2024-04-20
FR_MSR_000026,FR_PRD_00887,FAC_FR_004,3848,120,2204904.0,6614.71,1.71,2024-01-31
FR_MSR_000027,FR_PRD_00825,FAC_FR_003,4543,45,90133.12,7661.32,3.79,2024-05-04
FR_MSR_000028,FR_PRD_00183,FAC_FR_004,236776,48,73163784.0,219491.35,3.45,2023-01-29
